precinct,Dem,Rep,grn,lib,wcp,bar,Una,others,total
25-005,1394,160,3,4,0,0,260,21,1842
25-006,774,33,1,2,0,0,97,9,916
25-007,357,29,2,2,0,0,53,5,448
25-008,1780,88,3,5,1,0,208,24,2109
25-009,986,43,0,2,1,0,91,7,1130
25-010,1053,32,0,0,0,0,118,10,1213
25-011,351,106,1,0,0,0,122,6,586
25-012,734,214,3,6,0,0,239,15,1211
25-013,449,126,0,1,0,0,142,13,731
25-014,746,68,1,3,0,1,173,19,1011
25-015,681,118,1,2,1,1,199,15,1018
25-016,834,240,8,5,1,1,322,13,1424
26-001,158,48,0,4,0,0,70,4,284
26-002,1066,157,4,1,0,0,211,17,1456
26-003,703,260,1,2,0,0,219,13,1198
26-004,534,142,4,3,1,0,157,7,848
26-015,1296,48,3,1,0,0,168,14,1530
26-016,1059,36,2,2,0,0,129,12,1240
26-022,594,36,1,0,0,0,80,3,714
26-023,957,45,2,2,0,0,111,9,1126
26-024,1741,74,3,3,0,0,175,14,2010
26-025,1249,53,2,1,0,0,180,11,1496
26-026,1318,134,1,6,1,0,207,7,1674
26-027,1100,80,1,1,0,1,159,13,1355
26-028,976,55,0,1,0,0,104,5,1141
26-029,3383,155,6,4,0,0,393,27,3968
26-030,705,88,3,3,0,0,107,7,913
26-031,496,121,3,2,1,0,133,11,767
26-032,1479,55,1,3,1,0,184,16,1739
26-033,1333,38,0,0,1,0,143,11,1526
27-001,1638,156,5,4,0,0,261,21,2085
27-006,2310,196,3,6,1,0,356,20,2892
27-007,969,67,1,0,0,0,138,10,1185
27-008,1768,249,3,8,0,0,304,19,2351
01-001,912,188,3,6,0,0,277,12,1398
01-002,1261,225,5,4,0,0,392,16,1903
01-003,888,295,0,7,1,0,322,7,1520
01-004,1179,502,2,10,0,1,479,14,2187
01-005,1575,614,5,13,0,1,562,16,2786
02-001,736,106,1,4,0,1,198,3,1049
02-002,1052,213,10,10,0,0,293,12,1590
02-003,1471,392,3,6,2,1,579,18,2472
03-003,1165,284,1,5,0,0,410,18,1883
,,,,,,,,,
06-005,1874,211,5,12,1,1,424,14,2542
,,,,,,,,,
08-001,67,6,0,0,0,0,5,0,78
08-008,711,83,2,1,0,0,98,7,902
08-009,62,2,0,0,0,0,9,0,73
12-001,1925,228,6,3,1,0,373,17,2553
,,,,,,,,,
13-001,975,88,2,4,0,1,174,5,1249
,,,,,,,,,
13-002,873,122,6,6,0,0,165,13,1185
,,,,,,,,,
13-003,1538,197,12,7,1,2,358,17,2132
,,,,,,,,,
13-004,719,163,7,5,2,1,181,14,1092
CENTER,,,,,,,,,
13-005,641,77,4,6,0,1,174,3,906
APOSTOLIC,,,,,,,,,
13-012,1186,142,5,3,0,3,227,9,1575
,,,,,,,,,
21-001,514,72,1,2,0,0,181,6,776
WASHINGTON ELEM,,,,,,,,,
21-003,1286,134,8,8,0,0,284,16,1736
ELEM,,,,,,,,,
21-004,308,44,1,2,0,0,79,2,436
WASHINGTON ELEM,,,,,,,,,
22-002,947,193,1,5,0,0,251,5,1402
,,,,,,,,,
23-001,741,256,2,8,0,0,275,5,1287
,,,,,,,,,
,,,,,,,,,
23-002,764,156,1,5,0,1,203,7,1137
,,,,,,,,,
,,,,,,,,,
23-003,1030,412,2,15,0,0,468,12,1939
,,,,,,,,,
24-001,407,108,0,3,0,0,98,4,620
ACAD,,,,,,,,,
24-002,454,181,0,2,0,0,193,2,832
,,,,,,,,,
24-003,1003,328,3,14,0,0,316,8,1672
HIGH,,,,,,,,,
24-004,1408,456,2,11,0,0,463,14,2354
,,,,,,,,,
24-005,1960,747,1,15,0,0,747,23,3493
,,,,,,,,,
25-003,920,375,1,5,1,0,287,17,1606
ELEM/MID,,,,,,,,,
25-004,1260,453,4,11,1,1,498,32,2260
ELEM/MID,,,,,,,,,
26-005,290,63,1,3,0,0,81,7,445
,,,,,,,,,
26-006,559,144,0,4,0,0,175,9,891
,,,,,,,,,
26-007,732,251,3,7,0,1,288,13,1295
,,,,,,,,,
26-008,722,265,0,8,0,0,298,13,1306
,,,,,,,,,
26-009,1565,596,1,13,0,0,602,18,2795
,,,,,,,,,
26-010,1323,261,6,8,0,2,355,18,1973
ELEM,,,,,,,,,
26-011,597,96,4,6,0,1,170,10,884
ELEM/MIDDLE,,,,,,,,,
26-013,411,183,2,4,0,0,164,9,773
,,,,,,,,,
26-014,381,165,4,4,0,0,136,9,699
GARDENS ELEM SCHOOL,,,,,,,,,
26-017,471,19,1,1,0,0,48,6,546
,,,,,,,,,
,,,,,,,,,
26-018,890,48,2,1,0,0,95,8,1044
,,,,,,,,,
26-021,786,28,1,1,0,0,90,8,914
,,,,,,,,,
27-002,480,53,2,2,0,2,70,5,614
,,,,,,,,,
27-003,484,48,2,1,0,0,77,3,615
,,,,,,,,,
27-004,416,59,0,0,1,0,72,3,551
CITZENS,,,,,,,,,
27-005,1730,237,9,3,0,0,287,22,2288
HAMILTON,,,,,,,,,
27-009,1059,169,5,2,0,0,171,9,1415
,,,,,,,,,
27-010,420,145,0,4,0,1,100,4,674
,,,,,,,,,
27-011,1540,404,5,8,0,1,367,32,2357
,,,,,,,,,
27-012,350,120,3,3,0,0,93,6,575
,,,,,,,,,
27-013,2122,223,6,4,1,2,396,19,2773
COLLEGIATE SCHOOL FOR BOYS,,,,,,,,,
27-020,1916,98,1,6,1,0,233,11,2266
SCH,,,,,,,,,
27-032,1826,147,12,6,0,0,275,15,2281
,,,,,,,,,
27-037,490,100,0,2,0,0,96,1,689
,,,,,,,,,
27-038,1005,138,4,4,0,1,221,8,1381
,,,,,,,,,
27-039,599,122,2,1,0,0,96,4,824
,,,,,,,,,
27-040,1004,224,0,2,0,0,196,5,1431
CHURCH,,,,,,,,,
27-041,1364,271,4,2,0,0,233,16,1890
CHURCH,,,,,,,,,
27-042,1203,218,2,4,0,0,259,7,1693
,,,,,,,,,
27-043,594,73,1,2,0,0,107,2,779
,,,,,,,,,
27-044,948,111,1,3,0,0,131,8,1202
MIDDLE,,,,,,,,,
27-045,1332,174,7,3,0,0,234,5,1755
,,,,,,,,,
27-046,633,81,0,0,0,0,112,6,832
,,,,,,,,,
27-047,821,108,3,3,0,3,198,11,1147
CENTER,,,,,,,,,
27-049,2273,261,3,7,0,0,355,26,2925
LOWER,,,,,,,,,
27-050,989,42,3,2,0,0,100,10,1146
,,,,,,,,,
27-062,1370,272,3,3,2,0,255,7,1912
HIGH,,,,,,,,,
27-063,1424,227,2,1,0,0,226,15,1895
@NORTHWESTERN (GYM),,,,,,,,,
27-064,1222,317,3,3,0,0,258,2,1805
,,,,,,,,,
27-065,1946,585,0,4,1,0,433,14,2983
@NORTHWESTERN (GYM),,,,,,,,,
27-066,1571,432,2,4,0,1,327,17,2354
HIGH,,,,,,,,,
27-067,1599,205,2,2,0,0,288,24,2120
,,,,,,,,,
District Total :,77269,15836,218,369,16,30,18811,813,113362
ONGRESSIONAL DISTRICT 7,,,,,,,,,
03-001,1041,82,1,2,0,0,186,14,1326
ELEM/MIDDLE,,,,,,,,,
03-002,504,69,2,2,0,0,134,39,750
ELEM/MIDDLE,,,,,,,,,
04-001,805,123,1,4,0,1,281,15,1230
,,,,,,,,,
,,,,,,,,,
04-002,1630,205,10,8,0,1,526,21,2401
,,,,,,,,,
04-003,458,12,0,0,0,0,54,4,528
,,,,,,,,,
05-001,1076,71,2,2,1,0,149,11,1312
APARTMENTS,,,,,,,,,
05-002,104,3,0,0,0,0,15,2,124
SCH,,,,,,,,,
,,,,,,,,,
06-001,969,58,5,1,0,0,141,24,1198
,,,,,,,,,
06-002,590,41,1,0,0,0,99,8,739
COMMODORE ELEM,,,,,,,,,
06-003,377,23,0,0,0,1,50,3,454
COMMODORE ELEM,,,,,,,,,
06-004,843,87,4,1,0,0,213,2,1150
COMMODORE ELEM,,,,,,,,,
07-001,885,40,3,1,0,0,104,12,1045
SCH,,,,,,,,,
,,,,,,,,,
07-002,219,16,1,1,0,0,42,0,279
ELEM,,,,,,,,,
,,,,,,,,,
07-003,1727,80,7,2,2,0,234,24,2076
ELEM,,,,,,,,,
,,,,,,,,,
07-004,1629,80,2,0,2,0,234,14,1961
,,,,,,,,,
08-002,1175,52,7,2,0,0,137,14,1387
CENTER FOR THE ARTS,,,,,,,,,
08-003,1359,71,5,1,0,0,179,16,1631
,,,,,,,,,
08-004,328,19,1,1,0,0,43,4,396
PRIMARY,,,,,,,,,
,,,,,,,,,
08-005,1291,52,2,2,0,0,139,11,1497
PRIMARY,,,,,,,,,
,,,,,,,,,
08-006,1742,75,4,4,0,0,197,19,2041
HARRIS SR ELEM,,,,,,,,,
08-007,1228,40,1,2,0,1,108,7,1387
CENTER,,,,,,,,,
08-010,2393,78,4,0,1,1,199,14,2690
ELEM,,,,,,,,,
08-011,382,21,2,2,0,0,46,3,456
,,,,,,,,,
09-001,560,27,2,2,0,0,73,4,668
,,,,,,,,,
09-002,777,36,5,3,0,1,118,1,941
,,,,,,,,,
09-003,1067,47,3,3,2,1,125,12,1260
,,,,,,,,,
,,,,,,,,,
09-004,1794,75,2,2,2,0,194,9,2078
,,,,,,,,,
,,,,,,,,,
09-005,1383,69,4,2,0,0,146,13,1617
,,,,,,,,,
,,,,,,,,,
09-006,1655,58,3,2,0,0,164,13,1895
,,,,,,,,,
,,,,,,,,,
09-007,1454,65,7,4,0,0,170,11,1711
,,,,,,,,,
09-008,1044,34,2,0,0,0,119,16,1215
SPACE,,,,,,,,,
09-009,664,33,3,1,0,0,103,5,809
,,,,,,,,,
09-010,983,37,5,1,2,0,115,8,1151
,,,,,,,,,
09-011,243,12,0,0,0,0,26,2,283
,,,,,,,,,
09-012,1164,46,1,1,0,0,131,8,1351
SPACE,,,,,,,,,
09-013,407,22,1,1,0,0,39,7,477
,,,,,,,,,
09-014,1124,51,3,4,0,0,147,13,1342
,,,,,,,,,
09-015,1352,56,2,1,0,0,160,21,1592
CENTER,,,,,,,,,
10-001,888,30,2,1,0,0,73,12,1006
,,,,,,,,,
10-002,949,29,0,2,0,0,83,6,1069
,,,,,,,,,
10-003,478,23,2,1,0,0,79,8,591
,,,,,,,,,
10-004,512,23,1,1,0,1,54,5,597
,,,,,,,,,
11-001,1080,73,4,0,2,2,256,11,1428
,,,,,,,,,
