Zip2010,CSA2010,,,
21201,Downtown/Seton Hill,,,
21201,Inner Harbor/Federal Hill,,,
21201,Midtown,,,
21201,Poppleton/The Terraces/Hollins Market,,,
21201,Upton/Druid Heights,,,
21201,Washington Village/Pigtown,,,
21202,Greenmount East,,,
21202,Harbor East/Little Italy,,,
21202,Inner Harbor/Federal Hill,,,
21202,Midtown,,,
21202,Oldtown/Middle East,,,
21202,Orangeville/E. Highlandtown,,,
21205,Claremont/Armistead,,,
21205,Greenmount East,,,
21205,Madison/East End,,,
21205,Oldtown/Middle East,,,
21206,Cedonia/Frankford,,,
21206,Claremont/Armistead,,,
21206,Hamilton,,,
21206,Harford/Echodale,,,
21206,Lauraville,,,
21207,Dickeyville/Franklintown,,,
21207,Forest Park/Walbrook,,,
21207,Howard Park/W. Arlington,,,
21208,Cross Country/Cheswolde,,,
21208,Glen-Fallstaff,,,
21209,Cross Country/Cheswolde,,,
21209,Dorchester/Ashburton,,,
21209,Greater Roland Park/Poplar Hill,,,
21209,Medfield/Hampden/Woodberry/Remington,,,
21209,Mt. Washington/Coldspring,,,
21209,Pimlico/Arlington/Hilltop,,,
21210,Greater Roland Park/Poplar Hill,,,
21210,Medfield/Hampden/Woodberry/Remington,,,
21210,N. Baltimore/Guilford/Homeland,,,
21211,Greater Charles Village/Barclay,,,
21211,Medfield/Hampden/Woodberry/Remington,,,
21211,Southern Park Heights,,,
21212,Chinquapin Park/Belvedere,,,
21212,Greater Govans,,,
21212,N. Baltimore/Guilford/Homeland,,,
21213,Belair-Edison,,,
21213,Claremont/Armistead,,,
21213,Clifton-Berea,,,
21213,Greenmount East,,,
21214,Hamilton,,,
21214,Harford/Echodale,,,
21214,Highlandtown,,,
21214,Lauraville,,,
21214,Northwood,,,
21215,Cross Country/Cheswolde,,,
21215,Dorchester/Ashburton,,,
21215,Glen-Fallstaff,,,
21215,Greater Mondawmin,,,
21215,Howard Park/W. Arlington,,,
21215,Penn North/Reservoir Hill,,,
21215,Pimlico/Arlington/Hilltop,,,
21215,Southern Park Heights,,,
21216,Forest Park/Walbrook,,,
21216,Greater Mondawmin,,,
21216,Greater Rosemont,,,
21217,Greater Mondawmin,,,
21217,Greater Rosemont,,,
21217,Medfield/Hampden/Woodberry/Remington,,,
21217,Midtown,,,
21217,Penn North/Reservoir Hill,,,
21217,Sandtown-Winchester/Harlem Park,,,
21217,Upton/Druid Heights,,,
21218,Belair-Edison,,,
21218,Greater Charles Village/Barclay,,,
21218,Greater Govans,,,
21218,Midway/Coldstream,,,
21218,N. Baltimore/Guilford/Homeland,,,
21218,Northwood,,,
21218,The Waverlies,,,
21222,Southeastern,,,
21223,Allendale/Irvington/S. Hilton,,,
21223,Greater Rosemont,,,
21223,Poppleton/The Terraces/Hollins Market,,,
21223,Sandtown-Winchester/Harlem Park,,,
21223,Southwest Baltimore,,,
21223,Washington Village/Pigtown,,,
21224,Canton,,,
21224,Orangeville/E. Highlandtown,,,
21224,Patterson Park North & East,,,
21224,Southeastern,,,
21225,Brooklyn/Curtis Bay/Hawkins Point,,,
21225,Cherry Hill,,,
21225,Westport/Mt. Winans/Lakeland,,,
21226,Brooklyn/Curtis Bay/Hawkins Point,,,
21227,Morrell Park/Violetville,,,
21227,Westport/Mt. Winans/Lakeland,,,
21228,Beechfield/Ten Hills/West Hills,,,
21229,Allendale/Irvington/S. Hilton,,,
21229,Beechfield/Ten Hills/West Hills,,,
21229,Edmondson Village,,,
21229,Morrell Park/Violetville,,,
21230,Cherry Hill,,,
21230,Inner Harbor/Federal Hill,,,
21230,Morrell Park/Violetville,,,
21230,South Baltimore,,,
21230,Washington Village/Pigtown,,,
21230,Westport/Mt. Winans/Lakeland,,,
21231,Canton,,,
21231,Fells Point,,,
21231,Harbor East/Little Italy,,,
21231,Oldtown/Middle East,,,
21231,Patterson Park North & East,,,
21234,Harford/Echodale,,,
21234,Loch Raven,,,
21236,Harford/Echodale,,,
21237,Claremont/Armistead,,,
21237,Orangeville/E. Highlandtown,,,
21239,Chinquapin Park/Belvedere,,,
21239,Loch Raven,,,
21239,Northwood,,,
21251,Northwood,,,
21287,Oldtown/Middle East,,,
21292,Downtown/Seton Hill,,,
