,LEG02 Precinct Name,,Voting District (VTD),VTD Type,Census Population,Total Population,Adjusted One Race Alone,Adjusted White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone ,Native Hawiian Other Pacific Islander Alone,Adjusted Some Other Race Alone ,Adjusted Two or More Races,Adjusted Hispanic or Latino (Of Any Race),Adjusted Total Person 18+
2401,24038 Worcester Precinct 04-004,,04-004,Adj,"2,036","2,042","1,892","1,590",278,3,16,0,5,71,79,"1,657"
2401,24038 Worcester Precinct 05-001,,05-001,Adj,"4,096","4,098","3,816","3,670",99,0,40,0,7,140,142,"3,553"
2401,24038 Worcester Precinct 05-002,,05-002,Adj,"4,073","4,081","3,845","3,673",86,9,50,1,26,122,114,"3,452"
2401,24038 Worcester Precinct 06-001,,06-001,Adj,"3,976","3,978","3,783","3,616",80,6,68,0,13,102,93,"3,476"
2401,24038 Worcester Precinct 06-002,,06-002,Adj,"1,782","1,784","1,645","1,572",33,3,36,0,1,59,80,"1,400"
2401,24038 Worcester Precinct 06-003,,06-003,Adj,"2,319","2,321","2,221","2,122",44,4,47,1,3,50,50,"1,949"
2401,24038 Worcester Precinct 07-001,,07-001,Adj,"6,918","6,934","6,297","6,003",139,10,122,2,21,223,414,"6,287"
,Baltimore City,,,,"585,708","589,579","522,550","157,392","339,328","1,284","21,022",154,"3,370","21,088","45,941","475,586"
2403,24046 Baltimore City Precinct 01-001,,01-001,Adj,"1,893","1,901","1,591","1,305",186,3,86,0,11,84,226,"1,657"
2403,24046 Baltimore City Precinct 01-002,,01-002,Adj,"2,482","2,485","2,065","1,807",118,2,123,0,15,127,293,"2,176"
2403,24046 Baltimore City Precinct 01-003,,01-003,Adj,"2,034","2,038","1,812","1,635",67,4,101,0,5,79,147,"1,859"
2403,24046 Baltimore City Precinct 01-004,,01-004,Adj,"3,158","3,159","2,856","2,511",161,9,160,0,15,123,180,"2,918"
2403,24046 Baltimore City Precinct 01-005,,01-005,Adj,"3,575","3,580","3,210","2,979",92,5,114,0,20,143,227,"3,233"
2403,24046 Baltimore City Precinct 02-001,,02-001,Adj,"1,630","1,636","1,219",820,260,3,128,0,8,63,354,"1,409"
2403,24046 Baltimore City Precinct 02-002,,02-002,Adj,"2,439","2,445","1,832","1,570",122,3,127,1,9,129,484,"2,148"
2403,24046 Baltimore City Precinct 02-003,,02-003,Adj,"3,394","3,395","2,956","2,523",173,8,232,2,18,162,277,"3,143"
2407,24046 Baltimore City Precinct 03-001,,03-001,Adj,"1,883","1,925","1,621",234,"1,330",9,41,2,5,59,245,"1,373"
2407,24046 Baltimore City Precinct 03-002,,03-002,Adj,"1,283","1,312","1,223",355,773,7,85,0,3,42,47,"1,085"
2403,24046 Baltimore City Precinct 03-003,,03-003,Adj,"3,246","3,253","2,838","2,062",258,12,483,0,23,165,250,"3,053"
2407,24046 Baltimore City Precinct 04-001,,04-001,Adj,"2,618","2,622","2,270","1,074",716,3,458,0,19,159,193,"2,521"
2407,24040 Baltimore City Precinct 04-002,,04-002,Adj,"4,968","4,981","4,387","1,734","1,726",4,889,2,32,252,342,"4,694"
2407,24040 Baltimore City Precinct 04-003,,04-003,Adj,867,886,830,41,750,2,28,0,9,32,24,654
2407,24046 Baltimore City Precinct 05-001,,05-001,Adj,"1,728","1,764","1,655",49,"1,597",0,3,0,6,66,43,"1,264"
2407,24045 Baltimore City Precinct 05-002,,05-002,Adj,213,216,203,10,185,0,6,0,2,5,8,192
2407,24046 Baltimore City Precinct 06-001,,06-001,Adj,"2,448","2,478","1,458",222,"1,172",10,46,0,8,92,928,"1,793"
