Community,2020 Data
Greater Roland Park/Poplar Hill,3.4
South Baltimore,3.5
Canton,5
Downtown/Seton Hill,5.1
Fells Point,5.4
Lauraville,6
North Baltimore/Guilford/Homeland,6.1
Chinquapin Park/Belvedere,7.5
Inner Harbor/Federal Hill,7.9
Hamilton,8
Mount Washington/Coldspring,8.9
Washington Village/Pigtown,8.9
Medfield/Hampden/Woodberry/Remington,9.1
Midtown,9.7
Harford/Echodale,10.2
Highlandtown,10.6
Greater Charles Village/Barclay,10.9
Harbor East/Little Italy,11.5
Cross-Country/Cheswolde,12.5
Cedonia/Frankford,13.7
Patterson Park North & East,14.4
Loch Raven,14.9
Beechfield/Ten Hills/West Hills,15
Orangeville/East Highlandtown,15.2
Northwood,15.3
Greater Govans,15.9
Belair-Edison,16.3
Southeastern,16.4
Madison/East End,16.7
Baltimore City,17.6
The Waverlies,20
Westport/Mount Winans/Lakeland,21.7
Penn North/Reservoir Hill,22
Upton/Druid Heights,22
Dorchester/Ashburton,22.2
Allendale/Irvington/S. Hilton,22.4
Glen-Fallstaff,22.6
Edmondson Village,23
Claremont/Armistead,23.2
Oldtown/Middle East,23.7
Howard Park/West Arlington,25.1
Poppleton/The Terraces/Hollins Market,25.1
Clifton-Berea,25.8
Dickeyville/Franklintown,26.8
Midway/Coldstream,27
Morrell Park/Violetville,27.4
Southern Park Heights,27.6
Southwest Baltimore,27.6
Greenmount East,28.6
Brooklyn/Curtis Bay/Hawkins Point,30.4
Cherry Hill,30.7
Pimlico/Arlington/Hilltop,32.6
Greater Mondawmin,32.9
Forest Park/Walbrook,35.2
Greater Rosemont,38.2
Sandtown-Winchester/Harlem Park,38.6
