Table with row headers in column A and column headers in rows 4 through 6 and 69 through 71 and 134 through 136.,,,,,,,,,,,,,,,,,,,
"Table A-5.  Reported Voting and Registration for Total and Citizen Voting-Age Population, by State for Presidential Elections:  1972-2020",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
State,Voting Rates,,,,,,,,,,,,,,,,,,
,2020,,2016,,2012,,2008,,2004,,,,,,,,,,
,Total,Citizen,Total,Citizen,Total,Citizen,Total,Citizen,Total,Citizen,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Alabama,59.6,60.5,56.4,57.4,59.9,61.9,60.8,62.4,61.8,63.2,,,,,,,,,
Alaska,62.4,63.8,59.4,61.3,56.0,58.4,62.4,65.0,65.0,67.6,,,,,,,,,
Arizona,64.7,71.9,53.3,60.4,49.6,55.9,53.3,59.9,54.3,63.8,,,,,,,,,
Arkansas,51.9,54.0,56.0,58.7,51.1,53.3,51.8,53.8,56.7,58.7,,,,,,,,,
California,55.7,65.1,48.2,57.9,47.5,57.5,51.2,63.4,49.1,61.9,,,,,,,,,
Colorado,62.7,67.6,63.8,69.5,65.4,70.4,62.5,68.4,61.7,67.5,,,,,,,,,
Connecticut,60.5,66.6,57.5,63.9,57.5,62.7,60.8,67.2,58.5,63.2,,,,,,,,,
Delaware,63.8,67.7,57.2,62.3,62.2,67.3,63.0,67.3,62.8,66.4,,,,,,,,,
District of Columbia,77.8,84.0,68.7,74.3,67.7,75.9,65.3,74.1,62.0,69.2,,,,,,,,,
Florida,56.4,62.1,52.9,59.5,53.9,60.8,56.5,63.8,56.1,64.3,,,,,,,,,
Georgia,60.9,66.1,55.7,60.2,58.1,61.9,59.6,64.2,52.6,56.8,,,,,,,,,
Hawaii,59.7,64.3,43.3,47.3,47.4,51.6,46.8,51.8,46.2,50.8,,,,,,,,,
Idaho,61.6,64.9,58.3,62.1,60.2,63.9,58.8,61.4,58.7,61.6,,,,,,,,,
Illinois,62.7,68.4,58.8,63.8,56.2,61.5,57.1,62.6,61.0,65.6,,,,,,,,,
Indiana,58.9,61.0,56.0,58.3,57.7,59.3,58.8,60.5,57.3,58.6,,,,,,,,,
Iowa,68.5,70.5,60.7,63.4,66.7,69.4,66.9,70.2,68.8,71.3,,,,,,,,,
Kansas,60.1,65.7,58.0,61.3,58.9,63.3,59.8,63.3,59.7,64.2,,,,,,,,,
Kentucky,65.3,68.5,55.3,57.0,57.6,59.3,61.4,63.1,63.4,65.0,,,,,,,,,
Louisiana,59.4,61.9,59.7,61.6,64.7,66.3,68.0,70.3,63.1,64.2,,,,,,,,,
Maine,70.5,71.3,71.3,72.7,67.2,68.6,70.2,71.2,72.0,73.1,,,,,,,,,
Maryland,68.7,73.6,59.2,65.8,58.7,65.1,61.9,68.3,59.7,65.6,,,,,,,,,
Massachusetts,58.9,66.3,61.7,66.7,65.4,70.8,61.3,67.1,63.7,68.6,,,,,,,,,
Michigan,64.1,66.9,61.8,64.3,64.5,66.8,65.0,67.8,64.7,67.1,,,,,,,,,
Minnesota,74.3,77.9,65.3,68.7,70.5,73.2,70.8,75.0,76.7,79.2,,,,,,,,,
Mississippi,69.2,70.3,66.7,67.7,73.3,74.5,68.2,69.7,60.7,61.7,,,,,,,,,
Missouri,64.5,66.8,62.8,64.8,62.3,63.9,64.2,65.8,66.3,68.5,,,,,,,,,
Montana,72.6,73.5,65.2,65.9,64.5,65.7,64.7,65.4,69.9,70.2,,,,,,,,,
Nebraska,62.2,65.2,63.4,66.8,58.2,61.6,64.5,67.3,61.3,65.3,,,,,,,,,
Nevada,56.3,61.5,53.5,60.5,51.4,57.9,52.8,59.9,51.3,58.9,,,,,,,,,
New Hampshire,72.4,74.0,66.9,69.0,66.9,69.4,69.8,71.2,68.9,71.5,,,,,,,,,
New Jersey,68.2,78.3,53.4,61.5,54.5,61.9,56.0,64.1,57.6,66.0,,,,,,,,,
New Mexico,58.3,62.6,49.4,54.8,56.5,61.6,57.4,62.6,60.9,64.4,,,,,,,,,
New York,57.0,64.7,50.7,57.2,50.9,58.7,51.5,58.8,53.1,60.2,,,,,,,,,
North Carolina,58.9,64.7,61.6,67.5,63.7,68.9,63.8,67.5,58.2,61.4,,,,,,,,,
North Dakota,65.3,67.1,62.1,64.2,62.2,63.9,66.3,67.5,70.8,71.5,,,,,,,,,
Ohio,68.5,70.1,61.4,63.6,61.7,63.1,64.5,65.5,64.8,66.1,,,,,,,,,
Oklahoma,55.5,58.3,53.2,56.6,51.0,52.4,56.5,58.7,59.2,62.3,,,,,,,,,
Oregon,71.3,74.1,61.0,66.3,63.3,67.6,62.6,67.6,70.6,74.0,,,,,,,,,
Pennsylvania,68.2,70.2,60.2,62.6,59.1,61.6,60.8,62.4,62.5,64.5,,,,,,,,,
Rhode Island ,61.3,66.3,55.5,60.6,57.4,62.5,63.0,67.4,57.4,63.7,,,,,,,,,
South Carolina,61.3,63.4,59.8,62.1,62.2,64.7,63.4,65.6,62.0,63.2,,,,,,,,,
South Dakota,57.7,58.5,57.3,59.1,60.1,61.0,66.1,67.8,67.1,68.3,,,,,,,,,
