Community,2020 Data
Greater Roland Park/Poplar Hill,80.1
Mount Washington/Coldspring,77
South Baltimore,75
North Baltimore/Guilford/Homeland,74.6
Medfield/Hampden/Woodberry/Remington,72.9
Canton,70.8
Inner Harbor/Federal Hill,69.9
Howard Park/West Arlington,68.6
Lauraville,66.9
Cross-Country/Cheswolde,65.8
Midtown,65.8
Beechfield/Ten Hills/West Hills,65.1
Loch Raven,64.5
Hamilton,64.3
Chinquapin Park/Belvedere,64
Northwood,63.5
Harford/Echodale,63.3
Highlandtown,63
Glen-Fallstaff,62.5
Fells Point,62.4
Dorchester/Ashburton,61.7
Patterson Park North & East,60.7
The Waverlies,60.6
Cedonia/Frankford,59.4
Baltimore City,58.8
Greater Govans,58.2
Washington Village/Pigtown,57.8
Dickeyville/Franklintown,56.8
Edmondson Village,56.8
Greater Charles Village/Barclay,56.3
Downtown/Seton Hill,56
Forest Park/Walbrook,55.7
Belair-Edison,55.1
Penn North/Reservoir Hill,54.8
Morrell Park/Violetville,54.2
Allendale/Irvington/S. Hilton,54.1
Greater Mondawmin,54.1
Orangeville/East Highlandtown,51.9
Claremont/Armistead,51.7
Pimlico/Arlington/Hilltop,50.9
Harbor East/Little Italy,49.2
Southeastern,48.9
Greater Rosemont,48.5
Westport/Mount Winans/Lakeland,48.2
Greenmount East,47
Midway/Coldstream,46.9
Oldtown/Middle East,46.9
Southern Park Heights,46.6
Cherry Hill,46.5
Upton/Druid Heights,46.5
Clifton-Berea,46.4
Poppleton/The Terraces/Hollins Market,46.1
Sandtown-Winchester/Harlem Park,44.1
Brooklyn/Curtis Bay/Hawkins Point,42.7
Madison/East End,41.6
Southwest Baltimore,41.1
