POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST ENGLISH LUTHERAN CHURCH,3807 N CHARLES ST,BALTIMORE,MD,21218,03,43,014,12001   12002,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMISTEAD GARDEN ELEM SCH #243,5001 E EAGER ST,BALTIMORE,MD,21205,03,45,002,26014,1,,,,,,,,,,,,,,,,,,,,,,,,,,
BALTO MONTESSORI PUBLIC CHARTER SCH 336,1600 GUILFORD AVE,BALTIMORE,MD,21202,07,45,012,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL PARK TOWERS,3800 W BELVEDERE AVE,BALTIMORE,MD,21215,07,41,006,27056   27057,2,,,,,,,,,,,,,,,,,,,,,,,,,,
BETH AM IN TOWN SYNAGOGUE,2501 EUTAW PL,BALTIMORE,MD,21217,07,40,007,13008,1,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLTON STREET SYNAGOGUE,212 W COLDSPRING LN,BALTIMORE,MD,21210,03,41,014,27046,1,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN HOMES,4140 TENTH ST,BALTIMORE,MD,21225,02,46,010,25014,1,,,,,,,,,,,,,,,,,,,,,,,,,,
BROWN MEMORIAL CHURCH,1316 PARK AVENUE,BALTIMORE,MD,21217,07,40,011,11003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
C.C. JACKSON REC CTR,4910 PARK HGTS AVE,BALTIMORE,MD,21215,07,40,006,27054,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CANTON BAPTIST CHURCH,3302 TOONE ST,BALTIMORE,MD,21224,03,46,001,26008,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CARROLL COOK REC CTR,5061 E EAGER ST,BALTIMORE,MD,21205,03,45,013,26013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHOLIC HIGH SCHOOL,2800 EDISON HWY,BALTIMORE,MD,21213,07,45,013,8003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CHASE HOUSE,1027 CATHEDRAL ST,BALTIMORE,MD,21201,07,45,012,11001  11002  11005,3,,,,,,,,,,,,,,,,,,,,,,,,,,
