POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1ST ENGLISH LUTHERAN CHURCH,3807 N CHARLES ST,BALTIMORE,MD,21218,3,43,14,12-001,2,39.335444,-76.617791,1,rooftop,3807,N Charles St,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
1ST ENGLISH LUTHERAN CHURCH,3808 N CHARLES ST,BALTIMORE,MD,21218,3,43,14,12-002,,39.334866,-76.61826,1,range_interpolation,3808,N Charles St,,,Baltimore,MD,Baltimore City,21218,US,TIGER/Line® dataset from the US Census Bureau
ARMISTEAD GARDEN ELEM SCH #243,5001 E EAGER ST,BALTIMORE,MD,21205,3,45,2,26-014,1,39.304724,-76.552745,1,rooftop,5001,E Eager St,,,Baltimore,MD,Baltimore City,21205,US,City of Baltimore (City of Baltimore)
BALTO MONTESSORI PUBLIC CHARTER SCH 336,1600 GUILFORD AVE,BALTIMORE,MD,21202,7,45,12,12-012,1,39.308399,-76.612448,1,rooftop,1600,Guilford Ave,,,Baltimore,MD,Baltimore City,21202,US,City of Baltimore (City of Baltimore)
BEL PARK TOWERS,3799 W BELVEDERE AVE,BALTIMORE,MD,21215,7,41,6,27-056,,39.345378,-76.681039,1,range_interpolation,3799,W Belvedere Ave,,,Baltimore,MD,Baltimore City,21215,US,TIGER/Line® dataset from the US Census Bureau
BEL PARK TOWERS,3800 W BELVEDERE AVE,BALTIMORE,MD,21215,7,41,6,27-057,2,39.344911,-76.682251,1,rooftop,3800,W Belvedere Ave,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
BETH AM IN TOWN SYNAGOGUE,2501 EUTAW PL,BALTIMORE,MD,21217,7,40,7,13-008,1,39.314638,-76.637702,1,rooftop,2501,Eutaw Pl,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
BOLTON STREET SYNAGOGUE,212 W COLDSPRING LN,BALTIMORE,MD,21210,3,41,14,27-046,1,39.345018,-76.614626,0.89,range_interpolation,212,W Old Coldspring Ln,,,Baltimore,MD,Baltimore City,21218,US,TIGER/Line® dataset from the US Census Bureau
BROOKLYN HOMES,4140 TENTH ST,BALTIMORE,MD,21225,2,46,10,25-014,1,39.22851,-76.599131,1,rooftop,4140,10th St,,,Brooklyn,MD,Baltimore City,21225,US,City of Baltimore (City of Baltimore)
BROWN MEMORIAL CHURCH,1316 PARK AVENUE,BALTIMORE,MD,21217,7,40,11,11-003,1,39.306533,-76.623988,1,rooftop,1316,Park Ave,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
C.C. JACKSON REC CTR,4910 PARK HGTS AVE,BALTIMORE,MD,21215,7,40,6,27-054,1,39.346857,-76.673431,0.95,rooftop,4910,Park Heights Ave,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
CANTON BAPTIST CHURCH,3302 TOONE ST,BALTIMORE,MD,21224,3,46,1,26-008,1,39.278606,-76.568879,1,rooftop,3302,Toone St,,,Baltimore,MD,Baltimore City,21224,US,City of Baltimore (City of Baltimore)
CARROLL COOK REC CTR,5061 E EAGER ST,BALTIMORE,MD,21205,3,45,13,26-013,1,39.305123,-76.553164,1,range_interpolation,5061,E Eager St,,,Baltimore,MD,Baltimore City,21205,US,TIGER/Line® dataset from the US Census Bureau
CATHOLIC HIGH SCHOOL,2800 EDISON HWY,BALTIMORE,MD,21213,7,45,13,08-003,1,39.315963,-76.573697,1,rooftop,2800,Edison Hwy,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
CHASE HOUSE,1026 CATHEDRAL ST,BALTIMORE,MD,21201,7,45,12,11-001,,39.301867,-76.618017,1,range_interpolation,1026,Cathedral St,,,Baltimore,MD,Baltimore City,21201,US,TIGER/Line® dataset from the US Census Bureau
CHASE HOUSE,1027 CATHEDRAL ST,BALTIMORE,MD,21201,7,45,12,11-002,,39.302001,-76.617684,1,rooftop,1027,Cathedral St,,,Baltimore,MD,Baltimore City,21201,US,City of Baltimore (City of Baltimore)
CHASE HOUSE,1027 CATHEDRAL ST,BALTIMORE,MD,21201,7,45,12,11-005,3,39.302001,-76.617684,1,rooftop,1027,Cathedral St,,,Baltimore,MD,Baltimore City,21201,US,City of Baltimore (City of Baltimore)
CHRIST CHURCH HARBOR APTS. INC.,600 LIGHT STREET,BALTIMORE,MD,21230,7,46,11,22-001,1,39.281769,-76.613315,1,rooftop,600,Light St,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
CHURCH OF THE REDEEMED,4321 OLD YORK RD,BALTIMORE,MD,21212,7,43,4,09-001,1,39.342808,-76.607371,1,rooftop,4321,Old York Rd,,,Baltimore,MD,Baltimore City,21212,US,City of Baltimore (City of Baltimore)
COLLINGTON SQUARE RECREATION CENTER,1409 N COLLINGTON AVE,BALTIMORE,MD,21213,7,45,13,08-007,1,39.307453,-76.586963,1,rooftop,1409,N Collington Ave,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
CORNER COMMUNITY CENTER,5802 ROLAND AVE,BALTIMORE,MD,21210,3,41,5,27-042,1,39.368529,-76.63466,1,rooftop,5802,Roland Ave,,,Baltimore,MD,Baltimore City,21210,US,City of Baltimore (City of Baltimore)
CREATIVE CITY PUBLIC CHARTER SCH #383,2809 SHIRLEY AVE,BALTIMORE,MD,21215,7,40,6,15-024,,39.333718,-76.663997,1,range_interpolation,2809,Shirley Ave,,,Baltimore,MD,Baltimore City,21215,US,TIGER/Line® dataset from the US Census Bureau
CREATIVE CITY PUBLIC CHARTER SCH #384,2810 SHIRLEY AVE,BALTIMORE,MD,21215,7,40,6,15-025,2,39.333696,-76.665078,1,rooftop,2810,Shirley Ave,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
CROSS COUNTRY @ NORTHWESTERN (GYM),6899 PARK HEIGHTS AVE,BALTIMORE,MD,21215,3,41,5,27-063,,39.364932,-76.70258,1,range_interpolation,6899,Park Heights Ave,,,Baltimore,MD,Baltimore City,21215,US,TIGER/Line® dataset from the US Census Bureau
CROSS COUNTRY @ NORTHWESTERN (GYM),6900 PARK HEIGHTS AVE,BALTIMORE,MD,21215,3,41,5,27-065,2,39.364372,-76.70424,1,rooftop,6900,Park Heights Ave,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
CURTIS BAY REC CTR,1630 FILBERT ST,BALTIMORE,MD,21226,2,46,10,25-016,1,39.225483,-76.5881,1,range_interpolation,1630,Filbert St,,,Curtis Bay,MD,Baltimore City,21226,US,TIGER/Line® dataset from the US Census Bureau
DAWSON CENTER,1400 E FEDERAL ST,BALTIMORE,MD,21213,7,45,12,09-015,1,39.308562,-76.599369,1,rooftop,1400,E Federal St,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
DEWEESE REC CTR,5501 IVANHOE AVE,BALTIMORE,MD,21212,7,43,4,27-034,1,39.356831,-76.603223,1,rooftop,5501,Ivanhoe Ave,,,Baltimore,MD,Baltimore City,21212,US,City of Baltimore (City of Baltimore)
ELDERSLIE ST ANDREWS UMC,5601 PIMLICO RD,BALTIMORE,MD,21209,3,41,5,27-050,1,39.358825,-76.670992,1,rooftop,5601,Pimlico Rd,,,Baltimore,MD,Baltimore City,21209,US,City of Baltimore (City of Baltimore)
ELLA BAILEY RECREATION CENTER,99 E HEATH ST,BALTIMORE,MD,21230,3,46,11,23-003,,39.270463,-76.611697,1,range_interpolation,99,E Heath St,,,Baltimore,MD,Baltimore City,21230,US,TIGER/Line® dataset from the US Census Bureau
ELLA BAILEY RECREATION CENTER,100 E HEATH ST,BALTIMORE,MD,21230,3,46,11,24-004,2,39.270829,-76.611178,1,rooftop,100,E Heath St,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #13,405 MCMECHEN ST,BALTIMORE,MD,21217,7,44A,11,14-003,1,39.305032,-76.630298,1,rooftop,405,McMechen St,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #2,800 LIGHT ST,BALTIMORE,MD,21230,3,46,11,22-002,1,39.27978,-76.612868,1,rooftop,800,Light St,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #21,3724 ROLAND AVE,BALTIMORE,MD,21211,3,40,14,13-002,1,39.333601,-76.63303,1,rooftop,3724,Roland Ave,,,Baltimore,MD,Baltimore City,21211,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #31,3123 GREENMOUNT AVE,BALTIMORE,MD,21218,7,43,14,09-010,1,39.326831,-76.609182,1,rooftop,3123,Greenmount Ave,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #41,4521 HARFORD RD,BALTIMORE,MD,21214,3,45,3,27-003,,39.341132,-76.571156,1,range_interpolation,4521,Harford Rd,,,Baltimore,MD,Baltimore City,21214,US,TIGER/Line® dataset from the US Census Bureau
ENGINE HOUSE #42,4522 HARFORD RD,BALTIMORE,MD,21214,3,45,3,27-018,2,39.341508,-76.571361,1,rooftop,4522,Harford Rd,,,Baltimore,MD,Baltimore City,21214,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #45,2700 GLEN AVE,BALTIMORE,MD,21215,3,41,5,27-064,1,39.361547,-76.677689,1,rooftop,2700,Glen Ave,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #5,2120 EASTERN AVE,BALTIMORE,MD,21231,3,46,1,01-002,1,39.286029,-76.586114,1,rooftop,2120,Eastern Ave,,,Baltimore,MD,Baltimore City,21231,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #51,646 N HIGHLAND AVE,BALTIMORE,MD,21205,7,46,13,26-012,1,39.299205,-76.570062,1,rooftop,646,N Highland Ave,,,Baltimore,MD,Baltimore City,21205,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #51,3524 WOODBROOK AVE,BALTIMORE,MD,21217,7,40,7,13-006,,39.318261,-76.651037,1,range_interpolation,3524,Woodbrook Ave,,,Baltimore,MD,Baltimore City,21217,US,TIGER/Line® dataset from the US Census Bureau
ENGINE HOUSE #52,3525 WOODBROOK AVE,BALTIMORE,MD,21217,7,40,7,15-021,2,39.319042,-76.651284,1,rooftop,3525,Woodbrook Ave,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #53,5820 BELAIR RD,BALTIMORE,MD,21206,2,45,2,26-030,,39.344147,-76.543369,1,range_interpolation,5820,Belair Rd,,,Baltimore,MD,Baltimore City,21206,US,TIGER/Line® dataset from the US Census Bureau
ENGINE HOUSE #54,5821 BELAIR RD,BALTIMORE,MD,21206,2,45,2,26-031,2,39.34415,-76.542549,1,rooftop,5821,Belair Rd,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #56,6512 HARFORD RD,BALTIMORE,MD,21234,3,45,3,27-009,1,39.362155,-76.553267,0.9,rooftop,6512,Harford Rd,,,Baltimore,MD,Baltimore City,21214,US,City of Baltimore (City of Baltimore)
ENGINE HOUSE #58,2425 1/2 ANNAPOLIS RD,BALTIMORE,MD,21230,2,46,10,25-007,1,39.260792,-76.63507,1,rooftop,2425 1/2,Annapolis Rd,,,Baltimore,MD,Baltimore City,21230,US,Base data from City of Baltimore (City of Baltimore) with changes from Geocodio
ENOCH PRATT FREE LIBRARY BROOKLYN BRANCH,300 E PATAPSCO AVE,BALTIMORE,MD,21225,2,46,10,25-013,1,39.237879,-76.606757,1,rooftop,300,E Patapsco Ave,,,Brooklyn,MD,Baltimore City,21225,US,City of Baltimore (City of Baltimore)
ENOCH PRATT FREE LIBRARY CANTON BRANCH,1030 S ELLWOOD AVE,BALTIMORE,MD,21224,3,46,1,01-004,1,39.280282,-76.572804,1,rooftop,1030,S Ellwood Ave,,,Baltimore,MD,Baltimore City,21224,US,City of Baltimore (City of Baltimore)
ENOCH PRATT FREE LIBRARY CENTRAL BRANCH,400 CATHEDRAL ST,BALTIMORE,MD,21201,7,40,11,11-006,1,39.294506,-76.617096,1,rooftop,400,Cathedral St,,,Baltimore,MD,Baltimore City,21201,US,City of Baltimore (City of Baltimore)
ENOCH PRATT FREE LIBRARY HERRING RUN BRANCH,3801 ERDMAN AVE,BALTIMORE,MD,21213,7,45,13,26-019,1,39.315476,-76.569173,1,rooftop,3801,Erdman Ave,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
ENOCH PRATT FREE LIBRARY WAVERLY BRANCH,399 E 33RD ST,BALTIMORE,MD,21218,7,43,14,12-004,,39.328118,-76.611379,1,range_interpolation,399,E 33rd St,,,Baltimore,MD,Baltimore City,21218,US,TIGER/Line® dataset from the US Census Bureau
ENOCH PRATT FREE LIBRARY WAVERLY BRANCH,400 E 33RD ST,BALTIMORE,MD,21218,7,43,14,12-005,2,39.328597,-76.610612,1,rooftop,400,E 33rd St,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
ENOCH PRATT LIBRARY PENNSYLVANIA AVE BRANCH,1531 W NORTH AVE AT PENNS,BALTIMORE,MD,21217,7,40,7,14-005,1,39.309857,-76.641897,0.95,rooftop,1531,W North Ave,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
ENOCH PRATT LIBRARY WALBROOK BRANCH,3202 W NORTH AVE,BALTIMORE,MD,21216,7,41,7,15-012,,39.309196,-76.671546,1,rooftop,3202,W North Ave,,,Baltimore,MD,Baltimore City,21216,US,City of Baltimore (City of Baltimore)
ENOCH PRATT LIBRARY WALBROOK BRANCH,3203 W NORTH AVE,BALTIMORE,MD,21216,7,41,7,15-013,2,39.308694,-76.67167,1,rooftop,3203,W North Ave,,,Baltimore,MD,Baltimore City,21216,US,City of Baltimore (City of Baltimore)
FOREST PARK SR CITIZEN CTR,4800 LIBERTY HGTS AVE,BALTIMORE,MD,21207,7,41,5,28-005,,39.332178,-76.697238,0.95,rooftop,4800,Liberty Heights Ave,,,Gwynn Oak,MD,Baltimore City,21207,US,City of Baltimore (City of Baltimore)
FOREST PARK SR CITIZEN CTR,4801 LIBERTY HGTS AVE,BALTIMORE,MD,21207,7,41,5,28-006,2,39.331864,-76.697973,0.95,rooftop,4801,Liberty Heights Ave,,,Gwynn Oak,MD,Baltimore City,21207,US,City of Baltimore (City of Baltimore)
FURLEY RECREATION CENTER,4633 FURLEY AVE,BALTIMORE,MD,21206,2,45,2,26-025,1,39.328702,-76.552523,1,rooftop,4633,Furley Ave,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
GOVANS BOUNDARY UMC,5210 YORK RD,BALTIMORE,MD,21212,3,43,4,27-038,1,39.353008,-76.610316,1,rooftop,5210,York Rd,,,Baltimore,MD,Baltimore City,21212,US,City of Baltimore (City of Baltimore)
GRACE UNITED METHODIST CHURCH,5406 N CHARLES ST,BALTIMORE,MD,21210,3,43,4,27-040,,39.360474,-76.624917,1,range_interpolation,5406,N Charles St,,,Baltimore,MD,Baltimore City,21210,US,TIGER/Line® dataset from the US Census Bureau
GRACE UNITED METHODIST CHURCH,5407 N CHARLES ST,BALTIMORE,MD,21210,3,43,4,27-041,2,39.361529,-76.624418,1,rooftop,5407,N Charles St,,,Baltimore,MD,Baltimore City,21210,US,City of Baltimore (City of Baltimore)
HARFORD CTR FOR SR CITIZENS,4920 HARFORD RD,BALTIMORE,MD,21214,3,45,3,27-004,1,39.346835,-76.566442,1,rooftop,4920,Harford Rd,,,Baltimore,MD,Baltimore City,21214,US,City of Baltimore (City of Baltimore)
HARLEM PARK RECREATION CENTER,697 N CALHOUN ST,BALTIMORE,MD,21217,7,44A,6,16-001,,39.296788,-76.639872,1,range_interpolation,697,N Calhoun St,,,Baltimore,MD,Baltimore City,21217,US,TIGER/Line® dataset from the US Census Bureau
HARLEM PARK RECREATION CENTER,698 N CALHOUN ST,BALTIMORE,MD,21217,7,44A,7,16-002,,39.296805,-76.640173,1,range_interpolation,698,N Calhoun St,,,Baltimore,MD,Baltimore City,21217,US,TIGER/Line® dataset from the US Census Bureau
HARLEM PARK RECREATION CENTER,699 N CALHOUN ST,BALTIMORE,MD,21217,7,44A,8,16-003,,39.296817,-76.639873,1,range_interpolation,699,N Calhoun St,,,Baltimore,MD,Baltimore City,21217,US,TIGER/Line® dataset from the US Census Bureau
HARLEM PARK RECREATION CENTER,700 N CALHOUN ST,BALTIMORE,MD,21217,7,44A,9,16-004,4,39.296961,-76.64004,1,range_interpolation,700,N Calhoun St,,,Baltimore,MD,Baltimore City,21217,US,TIGER/Line® dataset from the US Census Bureau
HATTON SENIOR CITIZEN CTR,2825 FAIT  AVE,BALTIMORE,MD,21224,3,46,1,01-005,1,39.283062,-76.575845,1,rooftop,2825,Fait Ave,,,Baltimore,MD,Baltimore City,21224,US,City of Baltimore (City of Baltimore)
HIGHLANDTOWN ELEM/MIDDLE SCHOOL #237,231 S EATON STREET,BALTIMORE,MD,21224,3,46,2,26-011,1,39.289373,-76.565264,1,rooftop,231,S Eaton St,,,Baltimore,MD,Baltimore City,21224,US,City of Baltimore (City of Baltimore)
HILTON REC CTR,2950 PHELPS LN,BALTIMORE,MD,21229,7,44A,9,20-005,1,39.288784,-76.669505,1,rooftop,2950,Phelps Ln,,,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
HOLY CROSS CHURCH HALL,108 E WEST ST,BALTIMORE,MD,21230,3,46,11,24-002,1,39.276193,-76.611527,1,rooftop,108,E West St,,,Baltimore,MD,Baltimore City,21230,US,City of Baltimore (City of Baltimore)
JERUSALEM EV LUTHERAN CHURCH,4603 BELAIR RD,BALTIMORE,MD,21206,2,45,2,26-022,,39.331088,-76.561389,1,range_interpolation,4603,Belair Rd,,,Baltimore,MD,Baltimore City,21206,US,TIGER/Line® dataset from the US Census Bureau
JERUSALEM EV LUTHERAN CHURCH,4604 BELAIR RD,BALTIMORE,MD,21206,2,45,2,26-023,,39.331482,-76.561446,1,rooftop,4604,Belair Rd,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
JERUSALEM EV LUTHERAN CHURCH,4605 BELAIR RD,BALTIMORE,MD,21206,2,45,2,27-001,3,39.331312,-76.560857,1,rooftop,4605,Belair Rd,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
JOSEPH LEE FIELDHOUSE,5900 E PRATT ST,BALTIMORE,MD,21224,3,46,1,26-005,1,39.290676,-76.544894,1,range_interpolation,5900,E Pratt St,,,Baltimore,MD,Baltimore City,21224,US,TIGER/Line® dataset from the US Census Bureau
KESWICK MULTI-CARE CTR,700 W 40TH ST,BALTIMORE,MD,21211,3,41,14,13-001,1,39.337978,-76.62974,1,rooftop,700,W 40th St,,,Baltimore,MD,Baltimore City,21211,US,City of Baltimore (City of Baltimore)
LAKEVIEW TOWERS,727 DRUID PARK LAKE DR,BALTIMORE,MD,21217,7,40,7,13-009,1,39.316489,-76.632038,1,rooftop,727,Druid Park Lake Dr,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
LATROBE HOMES,900 E MADISON ST,BALTIMORE,MD,21202,7,46,12,10-003,1,39.299178,-76.604715,1,rooftop,900,E Madison St,,,Baltimore,MD,Baltimore City,21202,US,City of Baltimore (City of Baltimore)
LEMKO HOUSE,603 S ANN ST,BALTIMORE,MD,21231,3,46,1,02-003,1,39.284169,-76.591076,1,rooftop,603,S Ann St,,,Baltimore,MD,Baltimore City,21231,US,City of Baltimore (City of Baltimore)
LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL,2434 W BELVEDERE AVE,BALTIMORE,MD,21215,7,41,5,27-051,1,39.354467,-76.665105,1,rooftop,2434,W Belvedere Ave,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
LIBERTY GRACE CHURCH OF GOD,3400 COPLEY RD,BALTIMORE,MD,21215,7,41,6,15-008,1,39.326609,-76.67771,1,rooftop,3400,Copley Rd,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
LIGHTHOUSE WORSHIP CENTER,2931 E MADISON ST,BALTIMORE,MD,21205,7,45,13,07-004,1,39.299925,-76.575553,1,rooftop,2931,E Madison St,,,Baltimore,MD,Baltimore City,21205,US,City of Baltimore (City of Baltimore)
LILLIAN JONES RECREATION CENTER,1309 N STRICKER ST,BALTIMORE,MD,21217,7,40,7,15-018,,39.303616,-76.641575,1,rooftop,1309,N Stricker St,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
LILLIAN JONES RECREATION CENTER,1310 N STRICKER ST,BALTIMORE,MD,21217,7,40,7,16-005,2,39.304333,-76.642193,1,rooftop,1310,N Stricker St,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
MARY E RODMAN REC CTR,3600 W MULBERRY ST,BALTIMORE,MD,21229,7,41,8,20-006,1,39.292061,-76.67735,1,rooftop,3600,W Mulberry St,,,Baltimore,MD,Baltimore City,21229,US,City of Baltimore (City of Baltimore)
MEDFIELD HEIGHTS RECREATION CENTER,1500 WOODHEIGHTS AVE,BALTIMORE,MD,21211,3,40,7,13-004,,39.340741,-76.644844,1,range_interpolation,1500,Woodheights Ave,,,Baltimore,MD,Baltimore City,21211,US,TIGER/Line® dataset from the US Census Bureau
MEDFIELD HEIGHTS RECREATION CENTER,1501 WOODHEIGHTS AVE,BALTIMORE,MD,21211,3,40,7,27-047,2,39.340191,-76.644262,1,rooftop,1501,Woodheights Ave,,,Baltimore,MD,Baltimore City,21211,US,Statewide MD
