Community,2020 Data
Allendale/Irvington/S. Hilton,85.2
Baltimore City,57.3
Beechfield/Ten Hills/West Hills,74.9
Belair-Edison,86.2
Brooklyn/Curtis Bay/Hawkins Point,35.8
Canton,3.9
Cedonia/Frankford,82.6
Cherry Hill,89.1
Chinquapin Park/Belvedere,67.4
Claremont/Armistead,53.2
Clifton-Berea,89.9
Cross-Country/Cheswolde,22.9
Dickeyville/Franklintown,79.3
Dorchester/Ashburton,90.9
Downtown/Seton Hill,37.8
Edmondson Village,93.7
Fells Point,6.6
Forest Park/Walbrook,89.8
Glen-Fallstaff,57
Greater Charles Village/Barclay,30.3
Greater Govans,86.5
Greater Mondawmin,87.5
Greater Roland Park/Poplar Hill,8.8
Greater Rosemont,94.2
Greenmount East,93.2
Hamilton,62.2
Harbor East/Little Italy,44.1
Harford/Echodale,58.8
Highlandtown,6.4
Howard Park/West Arlington,89.5
Inner Harbor/Federal Hill,10.8
Lauraville,59.3
Loch Raven,87
Madison/East End,77.5
Medfield/Hampden/Woodberry/Remington,9.5
Midtown,29.9
Midway/Coldstream,90.5
Morrell Park/Violetville,28.4
Mount Washington/Coldspring,23
North Baltimore/Guilford/Homeland,12.1
Northwood,78.3
Oldtown/Middle East,77.5
Orangeville/East Highlandtown,10.1
Patterson Park North & East,27.8
Penn North/Reservoir Hill,82.2
Pimlico/Arlington/Hilltop,90.7
Poppleton/The Terraces/Hollins Market,78.4
Sandtown-Winchester/Harlem Park,92.5
South Baltimore,4.6
Southeastern,24.5
Southern Park Heights,90.5
Southwest Baltimore,75.2
The Waverlies,68.5
Upton/Druid Heights,88
Washington Village/Pigtown,51.8
Westport/Mount Winans/Lakeland,51.6
