Community,2020 Data
Allendale/Irvington/S. Hilton,8.2
Baltimore City,23.4
Beechfield/Ten Hills/West Hills,6.5
Belair-Edison,8.4
Brooklyn/Curtis Bay/Hawkins Point,13.4
Canton,27.7
Cedonia/Frankford,10.2
Cherry Hill,13.1
Chinquapin Park/Belvedere,11.5
Claremont/Armistead,8.3
Clifton-Berea,12.1
Cross-Country/Cheswolde,6.4
Dickeyville/Franklintown,11.4
Dorchester/Ashburton,10.2
Downtown/Seton Hill,216.4
Edmondson Village,6.2
Fells Point,28.7
Forest Park/Walbrook,9.8
Glen-Fallstaff,28.8
Greater Charles Village/Barclay,39.9
Greater Govans,7.8
Greater Mondawmin,21.9
Greater Roland Park/Poplar Hill,33.5
Greater Rosemont,12
Greenmount East,11.1
Hamilton,15.1
Harbor East/Little Italy,59.5
Harford/Echodale,11.7
Highlandtown,26.4
Howard Park/West Arlington,14.1
Inner Harbor/Federal Hill,37
Lauraville,13.3
Loch Raven,11.6
Madison/East End,19.2
Medfield/Hampden/Woodberry/Remington,35.4
Midtown,40.7
Midway/Coldstream,16.8
Morrell Park/Violetville,29.1
Mount Washington/Coldspring,31.4
North Baltimore/Guilford/Homeland,16.3
Northwood,5.3
Oldtown/Middle East,114.6
Orangeville/East Highlandtown,38.3
Patterson Park North & East,6.6
Penn North/Reservoir Hill,8.7
Pimlico/Arlington/Hilltop,31.8
Poppleton/The Terraces/Hollins Market,14.2
Sandtown-Winchester/Harlem Park,10.4
South Baltimore,21.9
Southeastern,37.5
Southern Park Heights,10.6
Southwest Baltimore,18.4
The Waverlies,14
Upton/Druid Heights,17.6
Washington Village/Pigtown,33.9
Westport/Mount Winans/Lakeland,13.8
