01001-SCHOOL #47 HAMPSTEAD HILL,"500 S LINWOOD AVE,",991,183,3,10,1,0,298,9,1495
ACAD,"BALTIMORE, MD 21224",,,,,,,,,
01002-ENGINE HOUSE #5,"2120 EASTERN AVE,",1301,233,7,6,1,0,408,18,1974
"","BALTIMORE, MD 21231",,,,,,,,,
01003-SCHOOL #47 HAMPSTEAD HILL,"500 S LINWOOD AVE,",947,276,0,9,1,0,362,10,1605
ACAD,"BALTIMORE, MD 21224",,,,,,,,,
01004-ENOCH PRATT FREE LIBRARY,"1030 S ELLWOOD AVE,",1278,474,3,16,1,1,512,15,2300
CANTON BRANCH,"BALTIMORE, MD 21224",,,,,,,,,
01005-HATTON SENIOR CITIZEN CTR,"2825 FAIT  AVE,",1661,597,7,17,1,1,615,11,2910
"","BALTIMORE, MD 21224",,,,,,,,,
02001-SCHOOL #23 GENERAL WOLFE,"245 S WOLFE ST,",804,98,1,3,0,2,207,4,1119
ELEM,"BALTIMORE, MD 21231",,,,,,,,,
02002-SCHOOL #23 GENERAL WOLFE,"245 S WOLFE ST,",1101,208,9,12,2,1,307,7,1647
ELEM,"BALTIMORE, MD 21231",,,,,,,,,
02003-LEMKO HOUSE,"603 S ANN ST, BALTIMORE,",1510,382,7,9,2,1,601,17,2529
"",MD 21231,,,,,,,,,
03001-SCHOOL #8 CITY SPRINGS,"100 S CAROLINE ST,",839,71,1,2,1,2,155,17,1088
ELEM/MIDDLE,"BALTIMORE, MD 21231",,,,,,,,,
03002-SCHOOL #8 CITY SPRINGS,"100 S CAROLINE ST,",509,63,4,3,1,0,136,32,748
ELEM/MIDDLE,"BALTIMORE, MD 21231",,,,,,,,,
03003-ST LEOS CHURCH HALL,"225 S EXETER ST,",1349,306,3,8,1,1,490,20,2178
"","BALTIMORE, MD 21202",,,,,,,,,
04001-WAR MEMORIAL BUILDING,101 N GAY STREET (ENTER,972,121,2,7,0,0,330,17,1449
"","ON LEXINGTON ST),",,,,,,,,,
"","BALTIMORE, MD 21202",,,,,,,,,
04002-STEADMAN FIRE STATION,"15 S EUTAW ST,",1802,189,7,10,4,3,582,25,2622
"","BALTIMORE, MD 21201",,,,,,,,,
04003-MURTY CTR-POE AUDITORIUM,"206 N FREMONT AVE,",453,15,1,0,0,0,48,5,522
"","BALTIMORE, MD 21201",,,,,,,,,
05001-PLEASANT VIEW GARDEN,"201 N AISQUITH ST,",1041,80,0,1,2,0,148,19,1291
APARTMENTS,"BALTIMORE, MD 21202",,,,,,,,,
05002-SCHOOL #414 PAUL DUNBAR HIGH,1400 ORLEANS STREET -,105,3,0,0,0,0,20,3,131
SCH,"MAIN ENTRANCE,",,,,,,,,,
"","BALTIMORE, MD 21231",,,,,,,,,
06001-SCHOOL #83 WM PACA ELEM,"200 N LAKEWOOD AVE,",942,63,2,4,4,0,157,27,1199
"","BALTIMORE, MD 21224",,,,,,,,,
06002-SCHOOL #27 RODGERS,"100 N CHESTER ST,",569,47,3,2,0,0,111,10,742
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,,,,
06003-SCHOOL #27 RODGERS,"100 N CHESTER ST,",397,20,0,0,0,0,54,7,478
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,,,,
06004-SCHOOL #27 RODGERS,"100 N CHESTER ST,",848,76,3,1,1,1,236,5,1171
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,,,,
06005-SCHOOL #83 WM PACA ELEM,"200 N LAKEWOOD AVE,",1910,192,5,9,1,1,465,18,2601
"","BALTIMORE, MD 21224",,,,,,,,,
07001-SCHOOL #414 PAUL DUNBAR HIGH,1400 ORLEANS STREET -,872,41,4,0,0,0,117,13,1047
SCH,"MAIN ENTRANCE,",,,,,,,,,
"","BALTIMORE, MD 21231",,,,,,,,,
07002-SCHOOL #13 TENCH TILGHMAN,600 N PATTERSON PARK,245,20,1,0,0,0,54,1,321
ELEM,"AVE, BALTIMORE, MD",,,,,,,,,
"",21205,,,,,,,,,
07003-SCHOOL #13 TENCH TILGHMAN,600 N PATTERSON PARK,1690,73,7,3,4,0,242,29,2048
ELEM,"AVE, BALTIMORE, MD",,,,,,,,,
"",21205,,,,,,,,,
07004-LIGHTHOUSE WORSHIP CENTER,"2931 E MADISON ST,",1626,88,4,1,5,1,254,21,2000
"","BALTIMORE, MD 21205",,,,,,,,,
08001-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVENUE,",71,6,0,0,0,0,4,0,81
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,,
08002-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVENUE,",1188,59,7,2,1,0,143,20,1420
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,,
08003-CATHOLIC HIGH SCHOOL,"2800 EDISON HWY,",1335,70,4,3,1,0,189,19,1621
"","BALTIMORE, MD 21213",,,,,,,,,
08004-SCHOOL #37 HARFORD HTS,2050 N WOLFE ST (NEW,307,21,1,0,0,0,41,5,375
PRIMARY,"ENTRANCE), BALTIMORE,",,,,,,,,,
"",MD 21213,,,,,,,,,
08005-SCHOOL #37 HARFORD HTS,2050 N WOLFE ST (NEW,1230,52,3,1,2,0,130,14,1432
PRIMARY,"ENTRANCE), BALTIMORE,",,,,,,,,,
"",MD 21213,,,,,,,,,
08006-SCHOOL #250 DR. BERNARD,"1400 N CAROLINE ST,",1743,77,5,3,1,0,216,34,2079
HARRIS SR ELEM,"BALTIMORE, MD 21213",,,,,,,,,
08007-COLLINGTON SQUARE RECREATION,"1409 N COLLINGTON AVE,",1210,46,2,1,3,0,130,16,1408
CENTER,"BALTIMORE, MD 21213",,,,,,,,,
08008-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVENUE,",723,83,2,1,0,0,109,6,924
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,,
08009-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVENUE,",57,2,0,0,0,0,11,1,71
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,,
08010-SCHOOL #85 FT WORTHINGTON,"2701 E OLIVER ST,",2328,77,7,1,6,1,229,19,2668
ELEM,"BALTIMORE, MD 21213",,,,,,,,,
08011-SCHOOL #86 LAKEWOOD ELEM,"2625 E FEDERAL ST,",390,27,2,2,1,0,52,2,476
"","BALTIMORE, MD 21213",,,,,,,,,
09001-CHURCH OF THE REDEEMED,"4321 OLD YORK RD,",579,20,1,2,1,0,86,8,697
"","BALTIMORE, MD 21212",,,,,,,,,
09002-THE ELLERSLIE,"601 WYANOKE AVE,",749,34,4,4,1,1,124,4,921
"","BALTIMORE, MD 21218",,,,,,,,,
09003-SCHOOL #51 WAVERLY ELEM,3400 ELLERSLIE AVE-,1070,49,3,3,3,2,147,13,1290
"","ENTRANCE 34TH ST,",,,,,,,,,
"","BALTIMORE, MD 21218",,,,,,,,,
09004-SCHOOL #51 WAVERLY ELEM,3400 ELLERSLIE AVE-,1809,70,7,4,2,1,209,13,2115
"","ENTRANCE 34TH ST,",,,,,,,,,
"","BALTIMORE, MD 21218",,,,,,,,,
09005-SCHOOL #410 MERVO TECH HIGH,3500 HILLEN RD -,1390,74,5,1,1,0,150,14,1635
"","ENTRANCE TIVOLY AVE,",,,,,,,,,
"","BALTIMORE, MD 21218",,,,,,,,,
09006-SCHOOL #410 MERVO TECH HIGH,3500 HILLEN RD -,1630,55,4,2,1,0,171,19,1882
"","ENTRANCE TIVOLY AVE,",,,,,,,,,
"","BALTIMORE, MD 21218",,,,,,,,,
09007-SCHOOL #44 MONTEBELLO ELEM,"2040 E 32ND ST,",1402,58,8,6,0,0,167,20,1661
"","BALTIMORE, MD 21218",,,,,,,,,
09008-REACH PARTNERSHIP - COMMUNITY,"2555 HARFORD ROAD,",1053,35,2,1,1,1,122,16,1231
SPACE,"BALTIMORE, MD 21218",,,,,,,,,
09009-SCHOOL #15 STADIUM SCHOOL,"1400 EXETER HALL AVE,",673,34,1,0,0,0,117,8,833
"","BALTIMORE, MD 21218",,,,,,,,,
09010-ENGINE HOUSE #31,"3123 GREENMOUNT AVE,",961,34,7,2,4,0,125,9,1142
"","BALTIMORE, MD 21218",,,,,,,,,
09011-SCHOOL #15 STADIUM SCHOOL,"1400 EXETER HALL AVE,",239,12,0,0,0,0,31,4,286
"","BALTIMORE, MD 21218",,,,,,,,,
09012-REACH PARTNERSHIP - COMMUNITY,"2555 HARFORD ROAD,",1179,45,2,1,2,0,136,19,1384
SPACE,"BALTIMORE, MD 21218",,,,,,,,,
09013-SCHOOL #7 CECIL ELEM,"2000 CECIL AVE,",390,17,1,0,0,0,38,10,456
"","BALTIMORE, MD 21218",,,,,,,,,
09014-SCHOOL #7 CECIL ELEM,"2000 CECIL AVE,",1129,45,2,5,3,0,161,17,1362
"","BALTIMORE, MD 21218",,,,,,,,,
09015-DAWSON SAFE HAVEN TEEN,"1400 E FEDERAL ST,",1305,58,3,3,3,0,179,28,1579
CENTER,"BALTIMORE, MD 21213",,,,,,,,,
10001-SCHOOL #16 JOHNSTON SQ ELEM,"1101 VALLEY ST,",885,26,3,2,1,0,90,14,1021
"","BALTIMORE, MD 21202",,,,,,,,,
10002-NEW WATERS TOWER APARTMENTS,"1400 E MADISON ST,",927,31,0,1,0,0,90,9,1058
"","BALTIMORE, MD 21205",,,,,,,,,
10003-LATROBE HOMES,"900 E MADISON ST,",452,28,1,1,2,0,80,11,575
"","BALTIMORE, MD 21202",,,,,,,,,
10004-SCHOOL #16 JOHNSTON SQ ELEM,"1101 VALLEY ST,",493,21,0,1,0,0,61,8,584
"","BALTIMORE, MD 21202",,,,,,,,,
11001-CHASE HOUSE,"1027 CATHEDRAL ST,",1165,63,5,3,1,3,267,14,1521
"","BALTIMORE, MD 21201",,,,,,,,,
11002-CHASE HOUSE,"1027 CATHEDRAL ST,",366,18,1,1,0,2,75,5,468
"","BALTIMORE, MD 21201",,,,,,,,,
11003-BROWN MEMORIAL CHURCH,"1316 PARK AVENUE,",1136,77,8,3,1,1,211,8,1445
"","BALTIMORE, MD 21217",,,,,,,,,
11004-SCHOOL #122 SAMUEL COLERIDGE-,507 W PRESTON ST -,63,5,0,0,0,0,7,2,77
TAYLOR ELEM,ENTER ON DRUID HILL,,,,,,,,,
"","AVE, BALTIMORE, MD",,,,,,,,,
"",21201,,,,,,,,,
11005-CHASE HOUSE,"1027 CATHEDRAL ST,",1235,57,6,6,1,2,198,10,1515
"","BALTIMORE, MD 21201",,,,,,,,,
11006-ENOCH PRATT FREE LIBRARY,"400 CATHEDRAL ST,",1785,143,6,6,0,2,414,14,2370
CENTRAL BRANCH,"BALTIMORE, MD 21201",,,,,,,,,
11007-WAXTER CENTER,"1000 CATHEDRAL ST,",969,80,10,6,4,3,264,13,1349
"","BALTIMORE, MD 21201",,,,,,,,,
