01001-SCHOOL #47 HAMPSTEAD HILL,"500 S LINWOOD AVE,",1007,144,4,14,1,293,6,1469
ACAD,"BALTIMORE, MD 21224",,,,,,,,
01002-ENGINE HOUSE #5,"2120 EASTERN AVE,",1282,214,12,6,1,389,16,1920
"","BALTIMORE, MD 21231",,,,,,,,
01003-SCHOOL #47 HAMPSTEAD HILL,"500 S LINWOOD AVE,",997,254,2,10,1,365,9,1638
ACAD,"BALTIMORE, MD 21224",,,,,,,,
01004-ENOCH PRATT FREE LIBRARY,"1030 S ELLWOOD AVE,",1332,431,5,13,1,527,10,2319
CANTON BRANCH,"BALTIMORE, MD 21224",,,,,,,,
01005-HATTON SENIOR CITIZEN CTR,"2825 FAIT  AVE,",1691,514,5,17,2,617,9,2855
"","BALTIMORE, MD 21224",,,,,,,,
02001-SCHOOL #23 WOLFE STREET ACAD,"245 S WOLFE ST,",766,89,1,2,1,205,3,1067
"","BALTIMORE, MD 21231",,,,,,,,
02002-SCHOOL #23 WOLFE STREET ACAD,"245 S WOLFE ST,",1130,192,10,8,2,325,8,1675
"","BALTIMORE, MD 21231",,,,,,,,
02003-LEMKO HOUSE,"603 S ANN ST, BALTIMORE,",1594,332,7,10,3,610,17,2573
"",MD 21231,,,,,,,,
03001-SCHOOL #8 CITY SPRINGS,"100 S CAROLINE ST,",720,61,1,2,1,149,18,952
ELEM/MIDDLE,"BALTIMORE, MD 21231",,,,,,,,
03002-SCHOOL #8 CITY SPRINGS,"100 S CAROLINE ST,",507,65,2,4,3,151,26,758
ELEM/MIDDLE,"BALTIMORE, MD 21231",,,,,,,,
03003-ST LEOS CHURCH HALL,"225 S EXETER ST,",1402,298,6,11,1,554,21,2293
"","BALTIMORE, MD 21202",,,,,,,,
04001-WAR MEMORIAL BUILDING,101 N GAY STREET (ENTER,1274,121,4,9,1,451,22,1882
"","ON LEXINGTON ST),",,,,,,,,
"","BALTIMORE, MD 21202",,,,,,,,
04002-STEADMAN FIRE STATION,"15 S EUTAW ST,",1523,156,7,14,6,519,26,2251
"","BALTIMORE, MD 21201",,,,,,,,
04003-MURTY CTR-POE AUDITORIUM,"206 N FREMONT AVE,",447,12,1,0,0,60,4,524
"","BALTIMORE, MD 21201",,,,,,,,
05001-PLEASANT VIEW GARDEN,"201 N AISQUITH ST,",1017,76,0,1,2,157,18,1271
APARTMENTS,"BALTIMORE, MD 21202",,,,,,,,
05002-SCHOOL #414 PAUL DUNBAR HIGH,1400 ORLEANS STREET -,145,4,0,0,0,25,4,178
SCH,"MAIN ENTRANCE,",,,,,,,,
"","BALTIMORE, MD 21231",,,,,,,,
06001-SCHOOL #83 WM PACA ELEM,"200 N LAKEWOOD AVE,",41,6,0,0,0,17,5,69
"","BALTIMORE, MD 21224",,,,,,,,
06002-SCHOOL #27 RODGERS,"100 N CHESTER ST,",1406,98,5,9,12,278,36,1844
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,,,
06003-SCHOOL #27 RODGERS,"100 N CHESTER ST,",388,22,0,0,0,77,3,490
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,,,
06004-SCHOOL #27 RODGERS,"100 N CHESTER ST,",863,60,3,3,0,225,7,1161
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,,,
06005-SCHOOL #83 WM PACA ELEM,"200 N LAKEWOOD AVE,",1855,181,7,11,1,446,17,2518
"","BALTIMORE, MD 21224",,,,,,,,
07001-SCHOOL #414 PAUL DUNBAR HIGH,1400 ORLEANS STREET -,858,37,4,0,1,128,11,1039
SCH,"MAIN ENTRANCE,",,,,,,,,
"","BALTIMORE, MD 21231",,,,,,,,
07002-SCHOOL #13 TENCH TILGHMAN,600 N PATTERSON PARK,235,20,1,1,0,54,0,311
ELEM,"AVE, BALTIMORE, MD",,,,,,,,
"",21205,,,,,,,,
07003-SCHOOL #13 TENCH TILGHMAN,600 N PATTERSON PARK,1627,83,6,4,7,262,32,2021
ELEM,"AVE, BALTIMORE, MD",,,,,,,,
"",21205,,,,,,,,
07004-LIGHTHOUSE WORSHIP CENTER,"2931 E MADISON ST,",1554,78,5,1,8,268,24,1938
"","BALTIMORE, MD 21205",,,,,,,,
08001-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVE,",68,4,0,1,0,6,0,79
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,
08002-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVE,",1155,62,6,3,2,172,22,1422
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,
08003-CATHOLIC HIGH SCHOOL,"2800 EDISON HWY,",1269,72,7,4,3,193,22,1570
"","BALTIMORE, MD 21213",,,,,,,,
08004-SCHOOL #37 HARFORD HTS,2050 N WOLFE ST (NEW,290,18,1,0,3,45,7,364
PRIMARY,"ENTRANCE), BALTIMORE,",,,,,,,,
"",MD 21213,,,,,,,,
08005-SCHOOL #37 HARFORD HTS,2050 N WOLFE ST (NEW,1223,58,2,2,1,140,14,1440
PRIMARY,"ENTRANCE), BALTIMORE,",,,,,,,,
"",MD 21213,,,,,,,,
08006-SCHOOL #250 DR. BERNARD,"1400 N CAROLINE ST,",1725,72,3,3,4,255,34,2096
