01001-SCHOOL #47 HAMPSTEAD HILL,"500 S LINWOOD AVE,",990,146,15,299,10,1460
ACAD,"BALTIMORE, MD 21224",,,,,,
01002-ENGINE HOUSE #5,"2120 EASTERN AVE,",1265,208,7,394,28,1902
"","BALTIMORE, MD 21231",,,,,,
01003-SCHOOL #47 HAMPSTEAD HILL,"500 S LINWOOD AVE,",978,250,9,359,12,1608
ACAD,"BALTIMORE, MD 21224",,,,,,
01004-ENOCH PRATT FREE LIBRARY,"1030 S ELLWOOD AVE,",1325,411,16,538,18,2308
CANTON BRANCH,"BALTIMORE, MD 21224",,,,,,
01005-HATTON SENIOR CITIZEN CTR,"2825 FAIT  AVE,",1646,501,15,611,18,2791
"","BALTIMORE, MD 21224",,,,,,
02001-SCHOOL #23 WOLFE STREET ACAD,"245 S WOLFE ST,",767,95,2,201,6,1071
"","BALTIMORE, MD 21231",,,,,,
02002-SCHOOL #23 WOLFE STREET ACAD,"245 S WOLFE ST,",1103,190,9,321,22,1645
"","BALTIMORE, MD 21231",,,,,,
02003-LEMKO HOUSE,"603 S ANN ST, BALTIMORE,",1635,309,9,622,21,2596
"",MD 21231,,,,,,
03001-SCHOOL #8 CITY SPRINGS,"100 S CAROLINE ST,",692,58,1,147,17,915
ELEM/MIDDLE,"BALTIMORE, MD 21231",,,,,,
03002-SCHOOL #8 CITY SPRINGS,"100 S CAROLINE ST,",515,66,5,157,31,774
ELEM/MIDDLE,"BALTIMORE, MD 21231",,,,,,
03003-ST LEOS CHURCH HALL,"225 S EXETER ST,",1415,291,15,589,31,2341
"","BALTIMORE, MD 21202",,,,,,
04001-WAR MEMORIAL BUILDING,101 N GAY STREET (ENTER,1314,131,10,449,26,1930
"","ON LEXINGTON ST),",,,,,,
"","BALTIMORE, MD 21202",,,,,,
04002-STEADMAN FIRE STATION,"15 S EUTAW ST,",1563,159,14,529,43,2308
"","BALTIMORE, MD 21201",,,,,,
04003-MURTY CTR-POE AUDITORIUM,"206 N FREMONT AVE,",438,11,1,59,3,512
"","BALTIMORE, MD 21201",,,,,,
05001-PLEASANT VIEW GARDEN,"201 N AISQUITH ST,",992,75,1,178,20,1266
APARTMENTS,"BALTIMORE, MD 21202",,,,,,
05002-SCHOOL #414 PAUL DUNBAR HIGH,1400 ORLEANS STREET -,161,4,1,29,3,198
SCH,"MAIN ENTRANCE,",,,,,,
"","BALTIMORE, MD 21231",,,,,,
06001-SCHOOL #83 WM PACA ELEM,"200 N LAKEWOOD AVE,",43,6,0,16,3,68
"","BALTIMORE, MD 21224",,,,,,
06002-SCHOOL #27 RODGERS,"100 N CHESTER ST,",1387,89,7,293,57,1833
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,
06003-SCHOOL #27 RODGERS,"100 N CHESTER ST,",387,25,0,78,3,493
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,
06004-SCHOOL #27 RODGERS,"100 N CHESTER ST,",832,60,3,222,11,1128
COMMODORE ELEM,"BALTIMORE, MD 21231",,,,,,
06005-SCHOOL #83 WM PACA ELEM,"200 N LAKEWOOD AVE,",1857,182,9,460,25,2533
"","BALTIMORE, MD 21224",,,,,,
07001-SCHOOL #414 PAUL DUNBAR HIGH,1400 ORLEANS STREET -,828,42,1,137,19,1027
SCH,"MAIN ENTRANCE,",,,,,,
"","BALTIMORE, MD 21231",,,,,,
07002-SCHOOL #13 TENCH TILGHMAN,600 N PATTERSON PARK,237,20,1,58,1,317
ELEM,"AVE, BALTIMORE, MD",,,,,,
"",21205,,,,,,
07003-SCHOOL #13 TENCH TILGHMAN,600 N PATTERSON PARK,1594,74,3,285,50,2006
ELEM,"AVE, BALTIMORE, MD",,,,,,
"",21205,,,,,,
07004-LIGHTHOUSE WORSHIP CENTER,"2931 E MADISON ST,",1518,80,1,282,39,1920
"","BALTIMORE, MD 21205",,,,,,
08001-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVE,",68,4,1,6,0,79
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,
08002-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVE,",1145,64,3,185,29,1426
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,
08003-CATHOLIC HIGH SCHOOL,"2800 EDISON HWY,",1233,70,4,207,25,1539
"","BALTIMORE, MD 21213",,,,,,
08004-SCHOOL #37 HARFORD HTS,2050 N WOLFE ST (NEW,280,19,0,43,11,353
PRIMARY,"ENTRANCE), BALTIMORE,",,,,,,
"",MD 21213,,,,,,
08005-SCHOOL #37 HARFORD HTS,2050 N WOLFE ST (NEW,1208,55,3,150,19,1435
PRIMARY,"ENTRANCE), BALTIMORE,",,,,,,
"",MD 21213,,,,,,
08006-SCHOOL #250 DR. BERNARD,"1400 N CAROLINE ST,",1668,77,5,277,41,2068
HARRIS SR ELEM,"BALTIMORE, MD 21213",,,,,,
08007-COLLINGTON SQUARE RECREATION,"1409 N COLLINGTON AVE,",1100,61,3,154,28,1346
CENTER,"BALTIMORE, MD 21213",,,,,,
08008-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVE,",727,78,1,110,12,928
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,
08009-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVE,",57,2,0,12,0,71
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,
08010-SCHOOL #85 FT WORTHINGTON,"2701 E OLIVER ST,",2185,92,2,260,45,2584
ELEM,"BALTIMORE, MD 21213",,,,,,
08011-SCHOOL #86 LAKEWOOD ELEM,"2625 E FEDERAL ST,",350,29,3,51,6,439
"","BALTIMORE, MD 21213",,,,,,
09001-CHURCH OF THE REDEEMED,"4321 OLD YORK RD,",514,16,5,91,11,637
"","BALTIMORE, MD 21212",,,,,,
09002-THE ELLERSLIE,"601 WYANOKE AVE,",766,31,2,137,19,955
"","BALTIMORE, MD 21218",,,,,,
09003-SCHOOL #51 WAVERLY ELEM,3400 ELLERSLIE AVE-,1050,53,4,166,19,1292
"","ENTRANCE 34TH ST,",,,,,,
"","BALTIMORE, MD 21218",,,,,,
09004-SCHOOL #51 WAVERLY ELEM,3400 ELLERSLIE AVE-,1804,64,6,229,21,2124
"","ENTRANCE 34TH ST,",,,,,,
"","BALTIMORE, MD 21218",,,,,,
09005-SCHOOL #410 MERVO TECH HIGH,3500 HILLEN RD -,1378,63,1,176,24,1642
"","ENTRANCE TIVOLY AVE,",,,,,,
"","BALTIMORE, MD 21218",,,,,,
09006-SCHOOL #410 MERVO TECH HIGH,3500 HILLEN RD -,2014,77,4,243,30,2368
"","ENTRANCE TIVOLY AVE,",,,,,,
"","BALTIMORE, MD 21218",,,,,,
09007-SCHOOL #410 MERVO TECH HIGH,3500 HILLEN RD -,943,44,5,128,27,1147
"","ENTRANCE TIVOLY AVE,",,,,,,
"","BALTIMORE, MD 21218",,,,,,
09008-REACH PARTNERSHIP - COMMUNITY,"2555 HARFORD ROAD,",1290,53,1,189,32,1565
SPACE,"BALTIMORE, MD 21218",,,,,,
09009-SCHOOL #15 STADIUM SCHOOL,"1400 EXETER HALL AVE,",668,39,1,121,11,840
"","BALTIMORE, MD 21218",,,,,,
09010-ENGINE HOUSE #31,"3123 GREENMOUNT AVE,",918,38,3,159,23,1141
"","BALTIMORE, MD 21218",,,,,,
09011-SCHOOL #15 STADIUM SCHOOL,"1400 EXETER HALL AVE,",251,11,2,34,2,300
"","BALTIMORE, MD 21218",,,,,,
09012-REACH PARTNERSHIP - COMMUNITY,"2555 HARFORD ROAD,",817,36,1,124,18,996
SPACE,"BALTIMORE, MD 21218",,,,,,
09013-SCHOOL #7 CECIL ELEM,"2000 CECIL AVE,",669,37,4,92,19,821
"","BALTIMORE, MD 21218",,,,,,
09014-SCHOOL #7 CECIL ELEM,"2000 CECIL AVE,",728,36,3,123,21,911
"","BALTIMORE, MD 21218",,,,,,
09015-DAWSON SAFE HAVEN TEEN,"1400 E FEDERAL ST,",1263,57,4,208,42,1574
CENTER,"BALTIMORE, MD 21213",,,,,,
10001-SCHOOL #16 JOHNSTON SQ ELEM,"1101 VALLEY ST,",857,27,2,99,16,1001
