t Dist/Prec & Polling Place,,Polling Place Address,DEM,REP,GRN,LIB,UNA,OTHERS,TOTAL
t Type : CONGRESSIONAL DISTRICT,,,,,,,,,
ESSIONAL DISTRICT 2,,,,,,,,,
25005-SCHOOL #12 LAKELAND ELEM/MID,,2921  STRANDEN RD (REC,1451,166,3,8,252,11,1891
,,"CTR), BALTIMORE, MD",,,,,,,
,,21230,,,,,,,
25006-SCHOOL #225 WESTPORT ELEM,,"2401 NEVADA ST,",807,34,1,3,73,2,920
,,"BALTIMORE, MD 21230",,,,,,,
25007-ENGINE HOUSE #58,,"2425 1/2 ANNAPOLIS RD,",385,29,3,3,54,2,476
,,"BALTIMORE, MD 21230",,,,,,,
25008-SCHOOL #164 ARUNDEL ELEM,,"2400 ROUND RD,",1808,95,3,5,192,7,2110
,,"BALTIMORE, MD 21225",,,,,,,
25009-SCHOOL #159 CHERRY HILL ELEM,,"801 BRIDGEVIEW ROAD,",998,41,0,1,70,1,1111
,,"BALTIMORE, MD 21225",,,,,,,
25010-SCHOOL #422  NEW ERA SCHOOL,,"2700 SEAMON AVE,",1060,34,1,0,104,2,1201
,,"BALTIMORE, MD 21225",,,,,,,
25011-SCHOOL #203 FARRING ELEM,,"300 PONTIAC AVE,",377,112,1,1,118,3,612
,,"BALTIMORE, MD 21225",,,,,,,
25012-SCHOOL #203 FARRING ELEM,,"300 PONTIAC AVE,",717,215,1,7,223,1,1164
,,"BALTIMORE, MD 21225",,,,,,,
25013-ENOCH PRATT FREE LIBRARY,,"300 E PATAPSCO AVE,",449,120,0,4,125,5,703
BROOKLYN BRANCH,,"BALTIMORE, MD 21225",,,,,,,
25014-BROOKLYN HOMES,,"4140 TENTH ST,",742,77,1,4,157,10,991
,,"BALTIMORE, MD 21225",,,,,,,
25015-SCHOOL #239 MASONVILLE COVE,,"1201 CAMBRIA ST,",723,94,1,2,163,5,988
COMMUNITY ACADEMY,,"BALTIMORE, MD 21225",,,,,,,
25016-CURTIS BAY REC CTR,,"1620 FILBERT ST,",839,249,6,8,282,8,1392
,,"BALTIMORE, MD 21226",,,,,,,
26001-ST HELENA COMMUNITY ASSOC,,"6509 COLGATE AVE,",180,57,4,4,66,2,313
,,"BALTIMORE, MD 21222",,,,,,,
26002-SCHOOL #240 GRACELAND PARK,,"6300 ODONNELL ST,",1079,158,7,3,199,8,1454
ELEM,,"BALTIMORE, MD 21224",,,,,,,
26003-SCHOOL #240 GRACELAND PARK,,"6300 ODONNELL ST,",705,273,1,7,200,9,1195
ELEM,,"BALTIMORE, MD 21224",,,,,,,
26004-SCHOOL #405  PATTERSON SR,,"100 KANE ST, BALTIMORE,",560,139,2,2,158,8,869
HIGH,,MD 21224,,,,,,,
26015-SCHOOL #105 MORAVIA PARK ELEM,,"6001 FRANKFORD AVE,",1266,51,2,3,116,8,1446
,,"BALTIMORE, MD 21206",,,,,,,
26016-SCHOOL #431 MARITIME,"5001 SINCLAIR LANE,",1085,35,3,1,96,4,,1224
INDUSTRIES ACADEMY,"BALTIMORE, MD 21206",,,,,,,,
26022-JERUSALEM EV LUTHERAN CHURCH,"4605 BELAIR RD,",577,30,2,0,71,2,,682
,"BALTIMORE, MD 21206",,,,,,,,
26023-JERUSALEM EV LUTHERAN CHURCH,"4605 BELAIR RD,",956,41,4,5,102,3,,1111
,"BALTIMORE, MD 21206",,,,,,,,
26024-SCHOOL #49 NORTHEAST MIDDLE,"5001 MORAVIA RD,",1734,56,8,3,133,7,,1941
,"BALTIMORE, MD 21206",,,,,,,,
26025-SCHOOL #206 FURLEY ELEM,"4633 FURLEY AVE,",1265,47,1,3,153,4,,1473
,"BALTIMORE, MD 21206",,,,,,,,
26026-SCHOOL #211 GARDENVILLE ELEM,"5300 BELAIR RD,",1302,125,1,8,151,5,,1592
,"BALTIMORE, MD 21206",,,,,,,,
26027-SCHOOL #210 HAZELWOOD ELEM,"4517 HAZELWOOD AVE,",1095,78,2,1,121,9,,1306
,"BALTIMORE, MD 21206",,,,,,,,
26028-SCHOOL #210 HAZELWOOD ELEM,"4517 HAZELWOOD AVE,",961,57,1,2,90,3,,1114
,"BALTIMORE, MD 21206",,,,,,,,
26029-SCHOOL #210 HAZELWOOD ELEM,"4517 HAZELWOOD AVE,",3359,147,4,6,320,11,,3847
,"BALTIMORE, MD 21206",,,,,,,,
26030-ENGINE HOUSE #54,"5821 BELAIR RD,",684,88,4,3,103,3,,885
,"BALTIMORE, MD 21206",,,,,,,,
26031-ENGINE HOUSE #54,"5821 BELAIR RD,",463,128,4,3,106,5,,709
,"BALTIMORE, MD 21206",,,,,,,,
26032-SCHOOL #231 BREHMS LANE ELEM,"3536 BREHMS LN,",1467,62,3,3,141,4,,1680
,"BALTIMORE, MD 21213",,,,,,,,
26033-SCHOOL #248 SINCLAIR LANE ELEM,"3880 SINCLAIR LN,",1280,52,2,0,105,5,,1444
,"BALTIMORE, MD 21213",,,,,,,,
27001-JERUSALEM EV LUTHERAN CHURCH,"4605 BELAIR RD,",1611,164,13,8,211,12,,2019
,"BALTIMORE, MD 21206",,,,,,,,
27006-SCHOOL #211 GARDENVILLE ELEM,"5300 BELAIR RD,",2273,206,8,9,333,7,,2836
,"BALTIMORE, MD 21206",,,,,,,,
27007-SCHOOL #235 GLENMOUNT,"6211 WALTHER AVE,",973,77,2,2,126,1,,1181
ELEM/MID,"BALTIMORE, MD 21206",,,,,,,,
27008-SCHOOL #235 GLENMOUNT,"6211 WALTHER AVE,",1696,258,5,12,295,16,,2282
ELEM/MID,"BALTIMORE, MD 21206",,,,,,,,
01001-SCHOOL #47 HAMPSTEAD HILL,"500 S LINWOOD AVE,",824,223,9,14,284,4,,1358
ELEM,"BALTIMORE, MD 21224",,,,,,,,
01002-ENGINE HOUSE #5,"2120 EASTERN AVE,",1125,269,8,10,408,11,,1831
,"BALTIMORE, MD 21231",,,,,,,,
01003-SCHOOL #47 HAMPSTEAD HILL,"500 S LINWOOD AVE,",783,380,2,21,361,9,,1556
ELEM,"BALTIMORE, MD 21224",,,,,,,,
01004-ENOCH PRATT FREE LIBRARY,"1030 S ELLWOOD AVE,",1096,562,4,21,478,4,,2165
CANTON BRANCH,"BALTIMORE, MD 21224",,,,,,,,
01005-HATTON SENIOR CITIZEN CTR,"2825 FAIT  AVE,",1352,691,12,24,619,14,,2712
,"BALTIMORE, MD 21224",,,,,,,,
02001-SCHOOL #23 GENERAL WOLFE,"245 S WOLFE ST,",652,125,2,7,218,4,,1008
ELEM,"BALTIMORE, MD 21231",,,,,,,,
02002-SCHOOL #23 GENERAL WOLFE,"245 S WOLFE ST,",916,238,10,15,311,9,,1499
ELEM,"BALTIMORE, MD 21231",,,,,,,,
02003-LEMKO HOUSE,"603 S ANN ST, BALTIMORE,",1313,424,7,16,594,10,,2364
,MD 21231,,,,,,,,
03003-ST LEOS CHURCH HALL,"225 S EXETER ST,",845,269,3,12,343,13,,1485
,"BALTIMORE, MD 21202",,,,,,,,
06005-SCHOOL #83 WM PACA ELEM,"200 N LAKEWOOD AVE,",1678,230,9,22,436,12,,2387
,"BALTIMORE, MD 21224",,,,,,,,
08001-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVENUE,",65,8,0,0,6,0,,79
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,
08008-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVENUE,",677,92,4,0,89,6,,868
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,
08009-THE MARYLAND STATE BOYS CHOIR,"3400 NORMAN AVENUE,",54,1,0,0,7,2,,64
CENTER FOR THE ARTS,"BALTIMORE, MD 21213",,,,,,,,
12001-1ST ENGLISH LUTHERAN CHURCH,"3807 N CHARLES ST,",1796,276,17,8,439,12,,2548
,"BALTIMORE, MD 21218",,,,,,,,
13001-KESWICK MULTI-CARE CTR,"700 W 40TH ST,",850,105,2,4,171,4,,1136
,"BALTIMORE, MD 21211",,,,,,,,
13002-ENGINE HOUSE #21,"3724 ROLAND AVE,",755,124,12,15,168,6,,1080
,"BALTIMORE, MD 21211",,,,,,,,
13003-ROOSEVELT RECREATION CENTER,"1221 W 36TH STREET,",1297,211,23,19,400,8,,1958
,"BALTIMORE, MD 21211",,,,,,,,
13004-SCHOOL #249 MEDFIELD HGTS,"4300 BUCHANAN AVE,",625,185,10,10,181,4,,1015
ELEM,"BALTIMORE, MD 21211",,,,,,,,
13005-SHILOH UNITED CHURCH,"2000 DRUID PARK DRIVE,",539,95,9,8,177,2,,830
APOSTOLIC,"BALTIMORE, MD 21211",,,,,,,,
13012-SCHOOL #55 HAMPDEN ELEM,"3608 CHESTNUT AVE,",1062,156,17,4,246,5,,1490
,"BALTIMORE, MD 21211",,,,,,,,
21001-SCHOOL #22 GEORGE,"800 SCOTT ST,",476,114,3,11,181,8,,793
WASHINGTON ELEM,"BALTIMORE, MD 21230",,,,,,,,
21003-SCHOOL #34 CHARLES CARROLL,"1327 WASHINGTON BLVD,",1179,145,11,13,267,8,,1623
ELEM,"BALTIMORE, MD 21230",,,,,,,,
21004-SCHOOL #22 GEORGE,"800 SCOTT ST,",319,50,0,7,75,3,,454
WASHINGTON ELEM,"BALTIMORE, MD 21230",,,,,,,,
22002-ENGINE HOUSE #2,"800 LIGHT ST, BALTIMORE,",825,276,2,9,270,8,,1390
,MD 21230,,,,,,,,
23001-SOUTH BALTIMORE LEARNING CTR,28 E OSTEND ST-,685,308,3,13,283,5,,1297
,"ENTRANCE PATAPSCO ST,",,,,,,,,
,"BALTIMORE, MD 21230",,,,,,,,
23002-SOLO GIBBS REC CTR,1044 LEADENHALL ST AT,598,132,1,7,173,3,,914
,"CROSS ST, BALTIMORE, MD",,,,,,,,
,21230,,,,,,,,
23003-SCHOOL #84 JOHNSON ELEM,"100 E HEATH ST,",939,486,3,24,483,4,,1939
,"BALTIMORE, MD 21230",,,,,,,,
24001-SCHOOL #45 FEDERAL HILL ELEM,"1040 WILLIAM ST,",376,143,1,8,118,5,,651
,"BALTIMORE, MD 21230",,,,,,,,
24002-HOLY CROSS CHURCH HALL,"108 E WEST ST,",384,194,2,7,183,4,,774
,"BALTIMORE, MD 21230",,,,,,,,
24003-SCHOOL #416 DIGITAL HARBOR,"1100 COVINGTON ST,",890,383,3,13,326,7,,1622
HIGH,"BALTIMORE, MD 21230",,,,,,,,
24004-SCHOOL #84 JOHNSON ELEM,"100 E HEATH ST,",1205,508,3,28,507,13,,2264
,"BALTIMORE, MD 21230",,,,,,,,
24005-SCHOOL #76 F SCOTT KEY ELEM,"1425 E FORT AVE,",1552,761,3,25,638,14,,2993
,"BALTIMORE, MD 21230",,,,,,,,
25003-SCHOOL #226 VIOLETVILLE,"1207 PINE HGTS AVE,",882,372,5,9,283,12,,1563
ELEM/MID,"BALTIMORE, MD 21229",,,,,,,,
25004-SCHOOL #220 MORRELL PARK,"2601 TOLLEY ST,",1188,438,5,15,455,14,,2115
ELEM/MID,"BALTIMORE, MD 21230",,,,,,,,
26005-JOSEPH LEE FIELDHOUSE,"5900 E PRATT ST,",307,68,1,5,75,6,,462
,"BALTIMORE, MD 21224",,,,,,,,
26006-ST NICHOLAS CHURCH HALL,"520 S PONCA ST- REAR,",576,127,1,6,167,5,,882
,"BALTIMORE, MD 21224",,,,,,,,
26007-ST NICHOLAS CHURCH HALL,"520 S PONCA ST - REAR,",576,257,7,9,247,8,,1104
,"BALTIMORE, MD 21224",,,,,,,,
26008-CANTON BAPTIST CHURCH,"3302 TOONE ST,",580,310,3,12,291,9,,1205
,"BALTIMORE, MD 21224",,,,,,,,
26009-SOUTHEASTER ANCHOR LIBRARY,"3601 EASTERN AVE,",1362,635,2,32,605,16,,2652
,"BALTIMORE, MD 21224",,,,,,,,
26010-SCHOOL #215 HIGHLANDTOWN,"3223 E PRATT ST,",1290,257,13,16,321,13,,1910
ELEM,"BALTIMORE, MD 21224",,,,,,,,
26011-SCHOOL #237 HIGHLANDTOWN,"231 S EATON STREET,",615,104,5,8,154,10,,896
ELEM/MIDDLE,"BALTIMORE, MD 21224",,,,,,,,
26013-CARROLL COOK REC CTR,"5061 E EAGER ST,",450,170,2,3,152,8,,785
,"BALTIMORE, MD 21205",,,,,,,,
26014-COMMUNITY BUILDING,"931 ARMISTEAD WAY,",391,188,4,7,127,7,,724
,"BALTIMORE, MD 21205",,,,,,,,
26017-ORCHARD RIDGE III COMMUNITY,4340 ORCHARD RIDGE,435,17,1,1,39,1,,494
ROOM,"BLVD, BALTIMORE, MD",,,,,,,,
,21213,,,,,,,,
26018-SCHOOL #248 SINCLAIR LANE ELEM,"3880 SINCLAIR LN,",930,44,2,1,70,3,,1050
,"BALTIMORE, MD 21213",,,,,,,,
26021-SCHOOL #231 BREHMS LANE ELEM,"3536 BREHMS LN,",754,27,3,5,66,4,,859
,"BALTIMORE, MD 21213",,,,,,,,
