Community,2010 Data
Allendale/Irvington/S. Hilton,45.3
Baltimore City,44.4
Beechfield/Ten Hills/West Hills,52.6
Belair-Edison,46.6
Brooklyn/Curtis Bay/Hawkins Point,30.1
Canton,43.2
Cedonia/Frankford,46.6
Cherry Hill,34.9
Chinquapin Park/Belvedere,51.2
Claremont/Armistead,37.8
Clifton-Berea,40.3
Cross-Country/Cheswolde,54.5
Dickeyville/Franklintown,41.1
Dorchester/Ashburton,51.4
Downtown/Seton Hill,30.7
Edmondson Village,48
Fells Point,41.4
Forest Park/Walbrook,45.2
Glen-Fallstaff,49.1
Greater Charles Village/Barclay,39.4
Greater Govans,46.8
Greater Mondawmin,43.4
Greater Roland Park/Poplar Hill,64.7
Greater Rosemont,40.7
Greenmount East,37.4
Hamilton,51.1
Harbor East/Little Italy,34.9
Harford/Echodale,48.2
Highlandtown,41.8
Howard Park/West Arlington,52.6
Inner Harbor/Federal Hill,45.1
Lauraville,52.5
Loch Raven,51.6
Madison/East End,30.6
Medfield/Hampden/Woodberry/Remington,49.4
Midtown,42.3
Midway/Coldstream,38.6
Morrell Park/Violetville,42.6
Mount Washington/Coldspring,60.7
North Baltimore/Guilford/Homeland,59
Northwood,51.4
Oldtown/Middle East,35.2
Orangeville/East Highlandtown,34
Patterson Park North and East,37.2
Penn North/Reservoir Hill,42.9
Pimlico/Arlington/Hilltop,41.1
Poppleton/The Terraces/Hollins Market,36.5
Sandtown-Winchester/Harlem Park,35
South Baltimore,46.6
Southeastern,33.8
Southern Park Heights,38
Southwest Baltimore,33.4
The Waverlies,46.9
Upton/Druid Heights,35.2
Washington Village/Pigtown,39.2
Westport/Mount Winans/Lakeland,38.3
