zip,avg_pct_reg,area,,,,
21201,61.74119,Seton Hill/Central Baltimore,,,,Seton Hill
21202,58.90383,Penn-Fallsway/East Baltimore,,,,Penn-Fallsway
21205,50.06022,Orangeville Industrial Area/East Baltimore,,,,Orangeville Industrial Area
21206,67.55443,Frankford/Northeast Baltimore,,,,Frankford
21209,78.68885,Cheswolde/Northwest Baltimore,,,,Cheswolde
21210,70.28669,Wyndhurst/North Baltimore,,,,Wyndhurst
21211,70.03159,Hampden/North Baltimore,,,,Hampden
21212,74.22585,Bellona-Gittings/North Baltimore,,,,Bellona-Gittings
21213,73.19701,Belair-Edison/Herring Run Park/Northeast Baltimore,,,,Belair-Edison
21214,72.11435,Lauraville/Northeast Baltimore,,,,Lauraville
21215,72.53354,Woodmere/Northwest Baltimore,,,,Woodmere
21216,73.49967,Walbrook/Southwest Baltimore,,,,Walbrook
21217,68.70014,Druid Heights/Central Baltimore,,,,Druid Heights
21218,70.42494,Ednor Gardens/Northeast Baltimore,,,,Ednor Gardens
21223,64.69989,Carrollton Ridge/South Baltimore,,,,Carrollton Ridge
21224,54.44147,Graceland Park/Southeast Baltimore,,,,Graceland Park
21229,67.63392,Irvington/Southwest Baltimore,,,,Irvington
21230,67.13933,South Baltimore,,,,South Baltimore
21231,63.32164,Upper Fells Point/Southeast Baltimore,,,,Upper Fells Point
21239,74.96482,Idlewood/Northeast Baltimore,,,,Idlewood
