POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location
1ST ENGLISH LUTHERAN CHURCH,3807 N CHARLES ST,BALTIMORE,MD,21218,3,43,14,12-001,2
1ST ENGLISH LUTHERAN CHURCH,3808 N CHARLES ST,BALTIMORE,MD,21218,3,43,14,12-002,
ARMISTEAD GARDEN ELEM SCH #243,5001 E EAGER ST,BALTIMORE,MD,21205,3,45,2,26-014,1
BALTO MONTESSORI PUBLIC CHARTER SCH 336,1600 GUILFORD AVE,BALTIMORE,MD,21202,7,45,12,12-012,1
BEL PARK TOWERS,3799 W BELVEDERE AVE,BALTIMORE,MD,21215,7,41,6,27-056,
BEL PARK TOWERS,3800 W BELVEDERE AVE,BALTIMORE,MD,21215,7,41,6,27-057,2
BETH AM IN TOWN SYNAGOGUE,2501 EUTAW PL,BALTIMORE,MD,21217,7,40,7,13-008,1
BOLTON STREET SYNAGOGUE,212 W COLDSPRING LN,BALTIMORE,MD,21210,3,41,14,27-046,1
BROOKLYN HOMES,4140 TENTH ST,BALTIMORE,MD,21225,2,46,10,25-014,1
BROWN MEMORIAL CHURCH,1316 PARK AVENUE,BALTIMORE,MD,21217,7,40,11,11-003,1
C.C. JACKSON REC CTR,4910 PARK HGTS AVE,BALTIMORE,MD,21215,7,40,6,27-054,1
CANTON BAPTIST CHURCH,3302 TOONE ST,BALTIMORE,MD,21224,3,46,1,26-008,1
CARROLL COOK REC CTR,5061 E EAGER ST,BALTIMORE,MD,21205,3,45,13,26-013,1
CATHOLIC HIGH SCHOOL,2800 EDISON HWY,BALTIMORE,MD,21213,7,45,13,08-003,1
CHASE HOUSE,1026 CATHEDRAL ST,BALTIMORE,MD,21201,7,45,12,11-001,
CHASE HOUSE,1027 CATHEDRAL ST,BALTIMORE,MD,21201,7,45,12,11-002,
CHASE HOUSE,1027 CATHEDRAL ST,BALTIMORE,MD,21201,7,45,12,11-005,3
CHRIST CHURCH HARBOR APTS. INC.,600 LIGHT STREET,BALTIMORE,MD,21230,7,46,11,22-001,1
CHURCH OF THE REDEEMED,4321 OLD YORK RD,BALTIMORE,MD,21212,7,43,4,09-001,1
