"Fact","Fact Note","Baltimore city, Maryland","Value Note for Baltimore city, Maryland","Baltimore County, Maryland","Value Note for Baltimore County, Maryland"
"Population estimates, July 1, 2023, (V2023)","","NA","","NA",""
"Population Estimates, July 1, 2022, (V2022)","","569,931","","846,161",""
"Population estimates base, April 1, 2020, (V2023)","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2022)","","585,693","","854,554",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-2.7%","","-1.0%",""
"Population, Census, April 1, 2020","","585,708","","854,535",""
"Population, Census, April 1, 2010","","620,961","","805,029",""
"Persons under 5 years, percent","","6.1%","","5.6%",""
"Persons under 18 years, percent","","20.4%","","21.5%",""
"Persons 65 years and over, percent","","14.8%","","18.5%",""
"Female persons, percent","","53.3%","","52.4%",""
"White alone, percent","","28.4%","","58.0%",""
"Black or African American alone, percent","(a)","61.2%","","31.9%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%","","0.5%",""
"Asian alone, percent","(a)","2.6%","","6.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%","","0.1%",""
"Two or More Races, percent","","4.4%","","2.9%",""
"Hispanic or Latino, percent","(b)","5.9%","","6.6%",""
"White alone, not Hispanic or Latino, percent","","27.0%","","53.1%",""
"Veterans, 2018-2022","","24,444","","41,431",""
"Foreign born persons, percent, 2018-2022","","8.1%","","12.2%",""
"Housing units, July 1, 2022, (V2022)","","X","","351,142",""
"Owner-occupied housing unit rate, 2018-2022","","47.8%","","66.5%",""
"Median value of owner-occupied housing units, 2018-2022","","$202,900","","$310,800",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$1,674","","$1,949",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$619","","$670",""
"Median gross rent, 2018-2022","","$1,235","","$1,479",""
"Building permits, 2022","","X","","335",""
"Households, 2018-2022","","247,232","","328,611",""
"Persons per household, 2018-2022","","2.28","","2.53",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","85.6%","","88.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","10.3%","","14.9%",""
"Households with a computer, percent, 2018-2022","","91.2%","","94.5%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","81.0%","","89.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","87.1%","","91.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","34.9%","","41.2%",""
"With a disability, under age 65 years, percent, 2018-2022","","12.4%","","8.1%",""
"Persons without health insurance, under age 65 years, percent","","6.3%","","6.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","62.0%","","65.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","60.1%","","62.1%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","1,980,518","","1,876,093",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","12,756,796","","7,069,777",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","1,558,410","","1,042,287",""
"Total retail sales, 2017 ($1,000)","(c)","7,175,255","","13,216,541",""
"Total retail sales per capita, 2017","(c)","$11,746","","$15,944",""
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","30.1","","28.7",""
"Median household income (in 2022 dollars), 2018-2022","","$58,349","","$88,157",""
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$37,845","","$46,603",""
"Persons in poverty, percent","","19.6%","","11.0%",""
"Total employer establishments, 2021","","X","","20,243",""
"Total employment, 2021","","X","","317,997",""
"Total annual payroll, 2021 ($1,000)","","X","","19,457,298",""
"Total employment, percent change, 2020-2021","","X","","-5.9%",""
"Total nonemployer establishments, 2020","","X","","73,494",""
"All employer firms, Reference year 2017","","9,918","","16,103",""
"Men-owned employer firms, Reference year 2017","","5,695","","10,172",""
"Women-owned employer firms, Reference year 2017","","1,770","","3,123",""
"Minority-owned employer firms, Reference year 2017","","2,603","","3,018",""
"Nonminority-owned employer firms, Reference year 2017","","5,699","","11,539",""
"Veteran-owned employer firms, Reference year 2017","","576","","1,056",""
"Nonveteran-owned employer firms, Reference year 2017","","7,668","","13,329",""
"Population per square mile, 2020","","7,235.8","","1,428.1",""
"Population per square mile, 2010","","7,671.5","","1,345.5",""
"Land area in square miles, 2020","","80.95","","598.36",""
"Land area in square miles, 2010","","80.94","","598.30",""
"FIPS Code","","""2404000""","","""24005""",""
"","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","",""
"","","","","",""
"Value Notes","","","","",""
"None","","","","",""
"","","","","",""
"Fact Notes","","","","",""
"(a)","Includes persons reporting only one race","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","",""
"","","","","",""
"Value Flags","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","",""
"F","Fewer than 25 firms","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","",""
"FN","Footnote on this item in place of data","","","",""
"X","Not applicable","","","",""
"S","Suppressed; does not meet publication standards","","","",""
"NA","Not available","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","",""
