"Label (Grouping)","Maryland!!Households!!Estimate","Baltimore County, Maryland!!Households!!Estimate","Baltimore city, Maryland!!Households!!Estimate"
"Total","2,157,717","312,306","244,397"
"Less than $10,000","5.3%","5.1%","13.6%"
"$10,000 to $14,999","3.7%","3.5%","8.8%"
"$15,000 to $24,999","7.4%","8.4%","13.1%"
"$25,000 to $34,999","7.2%","8.6%","10.3%"
"$35,000 to $49,999","11.3%","13.2%","15.0%"
"$50,000 to $74,999","17.5%","19.6%","15.9%"
"$75,000 to $99,999","13.1%","13.1%","8.1%"
"$100,000 to $149,999","17.9%","16.4%","8.8%"
"$150,000 to $199,999","8.5%","6.7%","3.3%"
"$200,000 or more","8.1%","5.5%","3.0%"
"Median income (dollars)","71,122","62,444","39,241"
"Mean income (dollars)","92,805","82,644","55,699"
"PERCENT IMPUTED","","",""
"    Household income in the past 12 months","28.8%","32.4%","36.0%"
"    Family income in the past 12 months","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)"
