"Label (Grouping)","Maryland!!Households!!Estimate","Baltimore County, Maryland!!Households!!Estimate","Baltimore city, Maryland!!Households!!Estimate"
"Total","2,215,935","313,259","237,204"
"    Less than $10,000","4.8%","4.7%","11.3%"
"    $10,000 to $14,999","2.9%","2.7%","6.9%"
"    $15,000 to $24,999","5.9%","7.1%","8.9%"
"    $25,000 to $34,999","6.0%","6.4%","8.8%"
"    $35,000 to $49,999","9.9%","11.0%","13.1%"
"    $50,000 to $74,999","15.7%","17.5%","16.4%"
"    $75,000 to $99,999","13.2%","13.8%","11.1%"
"    $100,000 to $149,999","18.8%","18.4%","12.5%"
"    $150,000 to $199,999","10.2%","9.0%","5.0%"
"    $200,000 or more","12.5%","9.5%","6.0%"
"Median income (dollars)","83,242","76,182","51,000"
"Mean income (dollars)","109,774","100,183","74,942"
"PERCENT ALLOCATED","","",""
"    Household income in the past 12 months","33.7%","36.1%","39.0%"
"    Family income in the past 12 months","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)"
