"Label (Grouping)","Maryland!!Number!!Estimate","Maryland!!Percent Distribution!!Estimate","Maryland!!Median income (dollars)!!Estimate","Baltimore County, Maryland!!Number!!Estimate","Baltimore County, Maryland!!Percent Distribution!!Estimate","Baltimore County, Maryland!!Median income (dollars)!!Estimate","Baltimore city, Maryland!!Number!!Estimate","Baltimore city, Maryland!!Percent Distribution!!Estimate","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","",""
"    Households","2,375,984","2,375,984","94,991","337,529","337,529","86,526","254,707","254,707","55,198"
"        One race--","","","","","","","","",""
"            White","1,263,931","53.2%","107,160","193,325","57.3%","93,642","78,219","30.7%","85,027"
"            Black or African American","719,162","30.3%","77,368","99,974","29.6%","75,953","151,958","59.7%","45,420"
"            American Indian and Alaska Native","7,841","0.3%","71,440","N","N","49,018","N","N","40,753"
"            Asian","137,965","5.8%","117,771","16,352","4.8%","98,569","7,514","3.0%","71,655"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","151,250","N","N","-"
"            Some other race","110,039","4.6%","72,980","N","N","50,728","7,551","3.0%","48,745"
"        Two or more races","135,917","5.7%","99,027","18,228","5.4%","99,597","8,911","3.5%","70,164"
"        Hispanic or Latino origin (of any race)","186,052","7.8%","82,138","17,369","5.1%","64,769","10,370","4.1%","60,030"
"        White alone, not Hispanic or Latino","1,239,387","52.2%","107,314","189,779","56.2%","94,057","76,283","29.9%","85,625"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","",""
"    15 to 24 years","68,383","2.9%","48,457","11,201","3.3%","41,890","9,452","3.7%","48,118"
"    25 to 44 years","774,515","32.6%","98,953","105,062","31.1%","90,913","101,324","39.8%","64,559"
"    45 to 64 years","897,896","37.8%","119,307","122,961","36.4%","112,747","82,575","32.4%","55,465"
"    65 years and over","635,190","26.7%","69,070","98,305","29.1%","61,847","61,356","24.1%","41,761"
"FAMILIES","","","","","","","","",""
"    Families","1,546,282","1,546,282","117,294","213,980","213,980","107,034","121,876","121,876","69,089"
"        With own children of householder under 18 years","648,420","41.9%","114,353","88,767","41.5%","100,304","48,382","39.7%","53,566"
"        With no own children of householder under 18 years","897,862","58.1%","119,038","125,213","58.5%","110,359","73,494","60.3%","78,166"
"        Married-couple families","1,104,626","71.4%","141,599","148,647","69.5%","130,949","59,318","48.7%","102,119"
"            With own children under 18 years","441,981","28.6%","150,778","56,477","26.4%","137,904","22,049","18.1%","117,574"
"        Female householder, no spouse present","316,894","20.5%","62,641","47,769","22.3%","55,969","49,873","40.9%","46,475"
"            With own children under 18 years","152,586","9.9%","46,263","24,734","11.6%","44,841","22,169","18.2%","34,107"
"        Male householder, no spouse present","124,762","8.1%","78,305","17,564","8.2%","78,588","12,685","10.4%","65,929"
"            With own children under 18 years","53,853","3.5%","61,626","7,556","3.5%","68,986","4,164","3.4%","47,038"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","",""
"    2-person families","697,124","45.1%","100,435","101,660","47.5%","89,441","63,827","52.4%","61,251"
"    3-person families","357,701","23.1%","122,350","50,076","23.4%","115,803","28,929","23.7%","70,167"
"    4-person families","293,562","19.0%","145,162","38,993","18.2%","136,745","16,478","13.5%","77,355"
"    5-person families","123,738","8.0%","139,770","14,201","6.6%","117,274","7,603","6.2%","81,201"
"    6-person families","44,585","2.9%","134,750","5,318","2.5%","135,471","2,979","2.4%","71,710"
"    7-or-more person families","29,572","1.9%","130,448","3,732","1.7%","138,565","2,060","1.7%","85,799"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","",""
"    No earners","184,978","12.0%","62,351","26,220","12.3%","51,017","18,435","15.1%","26,679"
"    1 earner","472,686","30.6%","78,079","70,395","32.9%","75,088","46,929","38.5%","47,314"
"    2 earners","677,836","43.8%","145,993","91,953","43.0%","137,119","47,599","39.1%","108,726"
"    3 or more earners","210,782","13.6%","179,002","25,412","11.9%","173,183","8,913","7.3%","142,649"
"NONFAMILY HOUSEHOLDS","","","","","","","","",""
"    Nonfamily households","829,702","829,702","57,179","123,549","123,549","55,374","132,831","132,831","41,671"
"        Female householder","470,292","56.7%","52,005","71,199","57.6%","48,725","72,479","54.6%","38,918"
"            Living alone","399,903","48.2%","47,272","61,253","49.6%","45,985","61,670","46.4%","31,651"
"            Not living alone","70,389","8.5%","92,213","9,946","8.1%","74,962","10,809","8.1%","111,831"
"        Male householder","359,410","43.3%","64,352","52,350","42.4%","63,906","60,352","45.4%","43,575"
"            Living alone","276,871","33.4%","54,525","40,831","33.0%","56,130","47,652","35.9%","36,481"
"            Not living alone","82,539","9.9%","108,190","11,519","9.3%","118,568","12,700","9.6%","100,480"
