"Label (Grouping)","Maryland!!Households!!Estimate","Baltimore County, Maryland!!Households!!Estimate","Baltimore city, Maryland!!Households!!Estimate"
"Total","2,375,984","337,529","254,707"
"    Less than $10,000","4.8%","5.3%","10.9%"
"    $10,000 to $14,999","2.6%","2.7%","6.8%"
"    $15,000 to $24,999","4.9%","5.5%","7.7%"
"    $25,000 to $34,999","5.5%","5.6%","8.1%"
"    $35,000 to $49,999","8.3%","9.8%","12.0%"
"    $50,000 to $74,999","13.5%","13.9%","16.5%"
"    $75,000 to $99,999","12.5%","13.8%","11.5%"
"    $100,000 to $149,999","18.7%","19.3%","12.7%"
"    $150,000 to $199,999","11.6%","10.8%","6.0%"
"    $200,000 or more","17.5%","13.4%","7.8%"
"Median income (dollars)","94,991","86,526","55,198"
"Mean income (dollars)","125,876","115,357","80,675"
"PERCENT ALLOCATED","","",""
"    Household income in the past 12 months","37.7%","38.4%","44.5%"
"    Family income in the past 12 months","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)"
