"Label (Grouping)","Maryland!!Median income (dollars)!!Estimate","Baltimore County, Maryland!!Median income (dollars)!!Estimate","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"Households","72,483","64,795","42,266"
"    One race--","","",""
"        White","81,199","67,441","63,958"
"        Black or African American","57,907","58,131","34,568"
"        American Indian and Alaska Native","49,080","75,264","19,293"
"        Asian","92,666","75,607","45,399"
"        Native Hawaiian and Other Pacific Islander","69,244","-","-"
"        Some other race","58,751","44,451","32,179"
"    Two or more races","68,896","54,375","32,396"
"Hispanic or Latino origin (of any race)","62,366","45,421","49,364"
"White alone, not Hispanic or Latino","81,927","68,112","63,698"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","32,325","32,492","22,892"
"    25 to 44 years","75,514","70,084","52,834"
"    45 to 64 years","88,101","79,439","45,781"
"    65 years and over","49,494","43,867","27,457"
"FAMILIES","","",""
"    Families","87,204","78,039","51,303"
"        With own children under 18 years","83,727","76,861","41,809"
"        With no own children under 18 years","89,903","78,977","56,465"
"        Married-couple families","104,893","96,472","78,552"
"        Female householder, no husband present","47,290","45,546","33,933"
"        Male householder, no wife present","61,679","57,478","46,817"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","45,959","42,049","30,933"
"        Female householder","40,913","37,449","29,400"
"            Living alone","35,829","34,899","24,050"
"            Not living alone","81,717","74,384","69,746"
"        Male householder","51,772","47,819","31,942"
"            Living alone","45,351","42,264","26,116"
"            Not living alone","83,218","81,942","80,529"
"PERCENT IMPUTED","","",""
"    Household income in the past 12 months","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)"
