"Label (Grouping)","Maryland!!Median income (dollars)!!Estimate","Baltimore County, Maryland!!Median income (dollars)!!Estimate","Baltimore city, Maryland!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"Households","78,945","72,764","47,350"
"    One race--","","",""
"        White","87,776","73,587","72,002"
"        Black or African American","62,919","71,575","37,225"
"        American Indian and Alaska Native","73,580","N","N"
"        Asian","97,900","82,999","52,305"
"        Native Hawaiian and Other Pacific Islander","N","78,864","N"
"        Some other race","62,659","65,446","48,380"
"    Two or more races","71,550","74,510","49,628"
"Hispanic or Latino origin (of any race)","68,332","54,763","56,419"
"White alone, not Hispanic or Latino","88,633","74,757","72,540"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","",""
"    15 to 24 years","36,494","35,382","32,536"
"    25 to 44 years","81,837","77,701","58,422"
"    45 to 64 years","95,351","89,304","46,474"
"    65 years and over","55,246","50,829","33,836"
"FAMILIES","","",""
"    Families","95,336","88,928","57,669"
"        With own children of householder under 18 years","91,712","86,790","48,327"
"        With no own children of householder under 18 years","97,509","90,124","66,499"
"        Married-couple families","115,074","105,023","92,621"
"        Female householder, no husband present","51,057","54,552","37,725"
"        Male householder, no wife present","65,385","63,067","45,430"
"NONFAMILY HOUSEHOLDS","","",""
"    Nonfamily households","47,868","44,947","35,342"
"        Female householder","42,187","38,894","31,895"
"            Living alone","37,963","34,727","26,641"
"            Not living alone","80,182","74,322","66,025"
"        Male householder","54,825","53,334","40,133"
"            Living alone","49,560","50,074","31,819"
"            Not living alone","84,922","75,966","81,894"
"PERCENT ALLOCATED","","",""
"    Household income in the past 12 months","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)"
