"Label (Grouping)","Maryland!!Total!!Estimate","Maryland!!Total!!Margin of Error","Maryland!!Below poverty level!!Estimate","Maryland!!Below poverty level!!Margin of Error","Baltimore County, Maryland!!Total!!Estimate","Baltimore County, Maryland!!Total!!Margin of Error","Baltimore County, Maryland!!Below poverty level!!Estimate","Baltimore County, Maryland!!Below poverty level!!Margin of Error","Baltimore city, Maryland!!Total!!Estimate","Baltimore city, Maryland!!Total!!Margin of Error","Baltimore city, Maryland!!Below poverty level!!Estimate","Baltimore city, Maryland!!Below poverty level!!Margin of Error"
"Population for whom poverty status is determined","6,023,847","±3,515","618,372","±24,989","827,700","±3,275","81,052","±9,792","552,925","±4,009","127,135","±10,485"
"    AGE","","","","","","","","","","","",""
"        Under 18 years","1,339,565","±3,839","187,386","±13,710","182,893","±892","27,126","±5,779","114,155","±1,325","39,578","±5,658"
"            Under 5 years","344,616","±2,514","52,515","±4,724","47,793","±671","7,948","±2,457","33,518","±721","13,230","±2,524"
"            5 to 17 years","994,949","±3,441","134,871","±10,995","135,100","±726","19,178","±4,445","80,637","±1,099","26,348","±4,032"
"            Related children of householder under 18 years","1,334,629","±4,395","183,212","±13,306","182,481","±928","26,714","±5,799","113,725","±1,328","39,148","±5,665"
"        18 to 64 years","3,701,154","±3,434","341,700","±14,420","496,849","±3,033","40,634","±4,685","355,499","±3,406","70,508","±6,071"
"            18 to 34 years","1,271,678","±4,127","144,173","±7,773","171,150","±3,080","16,936","±3,044","143,794","±2,912","30,998","±3,723"
"            35 to 64 years","2,429,476","±4,213","197,527","±9,400","325,699","±824","23,698","±3,421","211,705","±1,640","39,510","±3,460"
"        60 years and over","1,401,594","±8,416","125,639","±6,690","207,291","±2,966","17,156","±2,397","120,045","±2,734","25,544","±2,918"
"        65 years and over","983,128","±2,665","89,286","±4,977","147,958","±699","13,292","±2,255","83,271","±756","17,049","±2,153"
"    SEX","","","","","","","","","","","",""
"        Male","2,916,802","±4,552","269,123","±13,465","394,442","±1,975","35,753","±5,650","256,828","±3,110","56,145","±5,402"
"        Female","3,107,045","±4,397","349,249","±15,072","433,258","±2,161","45,299","±5,324","296,097","±2,175","70,990","±6,744"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"        White alone","2,965,003","±10,873","198,881","±12,322","450,313","±4,167","37,091","±7,451","153,091","±3,173","18,678","±2,842"
"        Black or African American alone","1,742,057","±12,689","251,905","±14,498","245,011","±4,881","27,410","±4,910","330,209","±5,288","91,384","±8,888"
"        American Indian and Alaska Native alone","24,580","±4,924","2,708","±1,402","2,524","±1,116","233","±170","N","N","N","N"
"        Asian alone","404,392","±6,257","35,467","±5,423","51,716","±2,419","3,995","±1,942","13,231","±1,640","2,916","±1,322"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","401,618","±13,839","72,507","±10,370","23,611","±4,951","3,757","±2,968","20,572","±3,558","7,148","±2,740"
